- - - XXZ 4 qubits output qDRIFT signals, epsilon= 2.5  - - - 
Seed: 3399821665  Run: 4  Samples:  1280   Time:    0.02799106
dt   Re(C(t))    Im(C(t))
0.0000     0.159922    0.000000
0.0253     0.150859    -0.046215
0.0505     0.136483    -0.074517
0.0758     0.113325    -0.105528
0.1010     0.096552    -0.117869
0.1263     0.067210    -0.131973
0.1515     0.045192    -0.134784
0.1768     0.005655    -0.137366
0.2020     -0.026876    -0.128815
0.2273     -0.043105    -0.113378
0.2525     -0.058221    -0.099887
0.2778     -0.068488    -0.081433
0.3030     -0.084660    -0.054984
0.3283     -0.091869    -0.026806
0.3535     -0.091339    -0.013907
0.3788     -0.083798    0.003451
0.4040     -0.069790    0.016654
0.4293     -0.059883    0.032107
0.4545     -0.042561    0.039862
0.4798     -0.036167    0.040403
0.5051     -0.020286    0.044866
0.5303     -0.008707    0.040261
0.5556     -0.002885    0.030234
0.5808     0.000177    0.026233
0.6061     0.007550    0.016932
0.6313     0.010666    0.009790
0.6566     0.008817    0.007680
0.6818     0.004450    0.007714
0.7071     0.003824    0.007305
0.7323     0.004248    0.008227
0.7576     0.004546    0.006726
0.7828     0.006197    0.003699
0.8081     0.011123    0.003288
0.8333     0.011895    0.001709
0.8586     0.010380    -0.004899
0.8838     0.007200    -0.008457
0.9091     0.005704    -0.011714
0.9343     0.003790    -0.018120
0.9596     -0.000193    -0.019976
0.9848     -0.009765    -0.020678
1.0101     -0.015806    -0.019089
1.0354     -0.022035    -0.019786
1.0606     -0.024711    -0.020985
1.0859     -0.031224    -0.014839
1.1111     -0.036637    -0.011623
1.1364     -0.043196    -0.004973
1.1616     -0.049031    0.008186
1.1869     -0.050197    0.022059
1.2121     -0.047105    0.031753
1.2374     -0.038331    0.044327
1.2626     -0.031600    0.054529
1.2879     -0.017992    0.065221
1.3131     -0.000646    0.066984
1.3384     0.009885    0.070159
1.3636     0.018632    0.070718
1.3889     0.035568    0.065906
1.4141     0.050145    0.056721
1.4394     0.059262    0.052217
1.4646     0.065213    0.044901
1.4899     0.073643    0.033007
1.5152     0.075764    0.017656
1.5404     0.081601    0.006481
1.5657     0.082327    -0.001282
1.5909     0.085588    -0.017532
1.6162     0.072862    -0.036287
1.6414     0.058835    -0.051203
1.6667     0.053732    -0.064651
1.6919     0.041563    -0.076073
1.7172     0.028295    -0.080597
1.7424     0.019811    -0.080552
1.7677     -0.005834    -0.077514
1.7929     -0.011820    -0.075358
1.8182     -0.027113    -0.069005
1.8434     -0.035456    -0.060252
1.8687     -0.043535    -0.051705
1.8939     -0.046796    -0.037147
1.9192     -0.046062    -0.025874
1.9444     -0.045074    -0.017995
1.9697     -0.038184    -0.001822
1.9949     -0.033362    0.005843
2.0202     -0.025489    0.007270
2.0455     -0.020467    0.009519
2.0707     -0.014265    0.012068
2.0960     -0.009199    0.009030
2.1212     -0.004259    0.009667
2.1465     -0.001573    0.007021
2.1717     0.002106    0.002457
2.1970     0.003134    -0.000825
2.2222     0.006102    -0.005028
2.2475     0.008830    -0.004135
2.2727     0.011353    -0.007258
2.2980     0.010091    -0.012244
2.3232     0.002547    -0.016426
2.3485     -0.001284    -0.020198
2.3737     -0.004650    -0.023382
2.3990     -0.010258    -0.021772
2.4242     -0.010831    -0.020452
2.4495     -0.012011    -0.015503
2.4747     -0.012958    -0.014028
2.5000     -0.019736    -0.009347
