- - - XXZ 4 qubits output qDRIFT signals, epsilon= 0.1  - - - 
Seed: 307708614  Run: 1  Samples:  32000   Time:    0.65542293
dt   Re(C(t))    Im(C(t))
0.0000     1.000000    0.000000
0.0253     0.977552    -0.195692
0.0505     0.917409    -0.366175
0.0758     0.811665    -0.536754
0.1010     0.681037    -0.669058
0.1263     0.534907    -0.767251
0.1515     0.390478    -0.818727
0.1768     0.225927    -0.840835
0.2020     0.076601    -0.825757
0.2273     -0.089137    -0.788845
0.2525     -0.228307    -0.712767
0.2778     -0.328605    -0.616892
0.3030     -0.398234    -0.519569
0.3283     -0.452353    -0.414132
0.3535     -0.482330    -0.292584
0.3788     -0.491330    -0.177805
0.4040     -0.470449    -0.079333
0.4293     -0.424475    0.007809
0.4545     -0.370503    0.075337
0.4798     -0.303822    0.132357
0.5051     -0.239617    0.156421
0.5303     -0.182498    0.167688
0.5556     -0.129657    0.173546
0.5808     -0.082507    0.149188
0.6061     -0.044860    0.113049
0.6313     -0.022473    0.081948
0.6566     -0.006594    0.064267
0.6818     0.003716    0.047168
0.7071     -0.002316    0.033519
0.7323     -0.003178    0.027741
0.7576     -0.005848    0.023793
0.7828     -0.006669    0.022893
0.8081     0.001457    0.021549
0.8333     0.012429    0.015651
0.8586     0.028636    0.004797
0.8838     0.039660    -0.015808
0.9091     0.043538    -0.040553
0.9343     0.045443    -0.075041
0.9596     0.030966    -0.112126
0.9848     0.010625    -0.152162
1.0101     -0.019350    -0.192822
1.0354     -0.072695    -0.231081
1.0606     -0.141774    -0.245950
1.0859     -0.214920    -0.256153
1.1111     -0.300088    -0.236937
1.1364     -0.385291    -0.211768
1.1616     -0.471879    -0.147597
1.1869     -0.538428    -0.056469
1.2121     -0.589370    0.045800
1.2374     -0.610402    0.173801
1.2626     -0.618558    0.298047
1.2879     -0.574144    0.446028
1.3131     -0.529192    0.566193
1.3384     -0.428287    0.700658
1.3636     -0.258827    0.810221
1.3889     -0.095454    0.879698
1.4141     0.096653    0.912105
1.4394     0.271470    0.902419
1.4646     0.419849    0.871934
1.4899     0.594268    0.778878
1.5152     0.746601    0.648390
1.5404     0.861467    0.491131
1.5657     0.936234    0.326144
1.5909     0.979331    0.127179
1.6162     0.970421    -0.108079
1.6414     0.916366    -0.294994
1.6667     0.840273    -0.426645
1.6919     0.717292    -0.570730
1.7172     0.579223    -0.669123
1.7424     0.419882    -0.742363
1.7677     0.274039    -0.765168
1.7929     0.113825    -0.768329
1.8182     -0.025427    -0.732073
1.8434     -0.145383    -0.680854
1.8687     -0.252559    -0.591247
1.8939     -0.363464    -0.475090
1.9192     -0.433995    -0.352052
1.9444     -0.444073    -0.239797
1.9697     -0.439194    -0.130348
1.9949     -0.398919    -0.047332
2.0202     -0.349346    0.035389
2.0455     -0.289202    0.081824
2.0707     -0.225740    0.112671
2.0960     -0.172218    0.128136
2.1212     -0.122642    0.121195
2.1465     -0.083995    0.115591
2.1717     -0.058952    0.091534
2.1970     -0.041553    0.073069
2.2222     -0.035571    0.054074
2.2475     -0.034877    0.033291
2.2727     -0.035612    0.027474
2.2980     -0.033902    0.024424
2.3232     -0.032517    0.024149
2.3485     -0.022911    0.025662
2.3737     -0.013609    0.025643
2.3990     0.002314    0.023699
2.4242     0.017621    0.013784
2.4495     0.030365    -0.001719
2.4747     0.047884    -0.023923
2.5000     0.059725    -0.058904
