- - - XXZ 4 qubits output qDRIFT signals, epsilon= 0.1  - - - 
Seed: 288033936  Run: 5  Samples:  32000   Time:    0.61533403
dt   Re(C(t))    Im(C(t))
0.0000     0.999999    -0.000500
0.0253     0.979481    -0.189513
0.0505     0.911808    -0.381291
0.0758     0.802840    -0.551164
0.1010     0.661373    -0.684215
0.1263     0.506032    -0.781189
0.1515     0.323628    -0.841749
0.1768     0.143167    -0.856023
0.2020     -0.032907    -0.829416
0.2273     -0.197745    -0.767037
0.2525     -0.315369    -0.673728
0.2778     -0.415072    -0.560229
0.3030     -0.473361    -0.441691
0.3283     -0.513489    -0.307393
0.3535     -0.519464    -0.184563
0.3788     -0.495356    -0.074660
0.4040     -0.453266    0.018124
0.4293     -0.393699    0.095509
0.4545     -0.323839    0.149085
0.4798     -0.250168    0.178771
0.5051     -0.184461    0.186128
0.5303     -0.121433    0.177029
0.5556     -0.075967    0.159339
0.5808     -0.039781    0.134235
0.6061     -0.014498    0.106265
0.6313     0.001065    0.076978
0.6566     0.007785    0.054949
0.6818     0.005743    0.038788
0.7071     -0.000052    0.027314
0.7323     -0.005567    0.023998
0.7576     -0.006738    0.023370
0.7828     -0.001108    0.023319
0.8081     0.009634    0.021142
0.8333     0.023991    0.014316
0.8586     0.037939    0.000207
0.8838     0.051672    -0.022400
0.9091     0.059515    -0.052967
0.9343     0.059979    -0.092629
0.9596     0.043405    -0.133640
0.9848     0.016173    -0.176368
1.0101     -0.025758    -0.216825
1.0354     -0.082459    -0.247176
1.0606     -0.153625    -0.257668
1.0859     -0.233318    -0.248911
1.1111     -0.320864    -0.221157
1.1364     -0.402091    -0.165792
1.1616     -0.474071    -0.088599
1.1869     -0.534661    0.014373
1.2121     -0.566670    0.143235
1.2374     -0.563851    0.287765
1.2626     -0.533418    0.423520
1.2879     -0.459867    0.561501
1.3131     -0.364239    0.675166
1.3384     -0.229964    0.773959
1.3636     -0.062834    0.841967
1.3889     0.120866    0.867800
1.4141     0.301607    0.855298
1.4394     0.475979    0.800238
1.4646     0.634531    0.709791
1.4899     0.781149    0.568924
1.5152     0.892022    0.397112
1.5404     0.959425    0.207051
1.5657     0.982282    0.023268
1.5909     0.962520    -0.175768
1.6162     0.899620    -0.365349
1.6414     0.798544    -0.526756
1.6667     0.664370    -0.656026
1.6919     0.511632    -0.755551
1.7172     0.338471    -0.813151
1.7424     0.163379    -0.832976
1.7677     -0.007404    -0.809423
1.7929     -0.158580    -0.751508
1.8182     -0.282594    -0.664005
1.8434     -0.388812    -0.551293
1.8687     -0.456116    -0.426781
1.8939     -0.492047    -0.300297
1.9192     -0.502099    -0.174614
1.9444     -0.475273    -0.061282
1.9697     -0.428207    0.034161
1.9949     -0.362227    0.108119
2.0202     -0.287683    0.157826
2.0455     -0.214150    0.178347
2.0707     -0.144771    0.180159
2.0960     -0.085125    0.169192
2.1212     -0.041673    0.144370
2.1465     -0.009423    0.110742
2.1717     0.006876    0.076444
2.1970     0.011228    0.047308
2.2222     0.005927    0.024814
2.2475     -0.004802    0.008385
2.2727     -0.015781    0.002506
2.2980     -0.023282    0.004104
2.3232     -0.027134    0.009413
2.3485     -0.022976    0.018087
2.3737     -0.013158    0.025421
2.3990     0.002339    0.025874
2.4242     0.022278    0.019723
2.4495     0.039200    0.004430
2.4747     0.056602    -0.022917
2.5000     0.067085    -0.059284
