- - - XXZ 4 qubits output qDRIFT signals, epsilon= 0.1  - - - 
Seed: 2087071917  Run: 20  Samples:  32000   Time:    0.59927797
dt   Re(C(t))    Im(C(t))
0.0000     0.999999    -0.000875
0.0253     0.977736    -0.203299
0.0505     0.910907    -0.388307
0.0758     0.799788    -0.559978
0.1010     0.660175    -0.691592
0.1263     0.497417    -0.790856
0.1515     0.320511    -0.848086
0.1768     0.133103    -0.864368
0.2020     -0.040934    -0.837374
0.2273     -0.200129    -0.774865
0.2525     -0.325351    -0.681117
0.2778     -0.426761    -0.565428
0.3030     -0.493690    -0.438647
0.3283     -0.528905    -0.305439
0.3535     -0.528665    -0.182614
0.3788     -0.502772    -0.071416
0.4040     -0.457285    0.026339
0.4293     -0.394177    0.101877
0.4545     -0.322402    0.156167
0.4798     -0.248193    0.186204
0.5051     -0.178425    0.194366
0.5303     -0.116347    0.183243
0.5556     -0.069497    0.161309
0.5808     -0.034535    0.133280
0.6061     -0.014209    0.103404
0.6313     -0.004699    0.075913
0.6566     -0.002518    0.052264
0.6818     -0.007569    0.035489
0.7071     -0.014430    0.026559
0.7323     -0.019509    0.024360
0.7576     -0.020747    0.026298
0.7828     -0.015909    0.029489
0.8081     -0.006097    0.030927
0.8333     0.009331    0.028123
0.8586     0.025434    0.017690
0.8838     0.042029    -0.001005
0.9091     0.053790    -0.029133
0.9343     0.056531    -0.066127
0.9596     0.047147    -0.108047
0.9848     0.023191    -0.150941
1.0101     -0.015731    -0.192096
1.0354     -0.071284    -0.223502
1.0606     -0.138111    -0.239229
1.0859     -0.217865    -0.235196
1.1111     -0.303142    -0.214974
1.1364     -0.386150    -0.166475
1.1616     -0.458874    -0.094411
1.1869     -0.521634    0.000644
1.2121     -0.558535    0.119731
1.2374     -0.565968    0.253143
1.2626     -0.543176    0.389684
1.2879     -0.483839    0.525154
1.3131     -0.391426    0.647657
1.3384     -0.267658    0.752482
1.3636     -0.108316    0.828193
1.3889     0.066519    0.865477
1.4141     0.244897    0.865481
1.4394     0.430655    0.819186
1.4646     0.593261    0.738577
1.4899     0.743111    0.612715
1.5152     0.859386    0.458781
1.5404     0.939193    0.279920
1.5657     0.978805    0.086907
1.5909     0.973439    -0.101998
1.6162     0.926300    -0.293632
1.6414     0.841415    -0.458599
1.6667     0.714533    -0.608065
1.6919     0.573753    -0.714364
1.7172     0.409788    -0.787989
1.7424     0.236122    -0.824032
1.7677     0.057549    -0.818692
1.7929     -0.099257    -0.775815
1.8182     -0.234464    -0.702377
1.8434     -0.353250    -0.602880
1.8687     -0.432749    -0.485262
1.8939     -0.480277    -0.360446
1.9192     -0.498982    -0.236270
1.9444     -0.485516    -0.120023
1.9697     -0.450325    -0.017911
1.9949     -0.395044    0.061807
2.0202     -0.329993    0.120034
2.0455     -0.260885    0.156694
2.0707     -0.193541    0.169057
2.0960     -0.132332    0.168406
2.1212     -0.080939    0.153050
2.1465     -0.042063    0.127442
2.1717     -0.017146    0.098311
2.1970     -0.005792    0.070214
2.2222     -0.003944    0.046123
2.2475     -0.008494    0.028659
2.2727     -0.015712    0.019019
2.2980     -0.022317    0.016217
2.3232     -0.026235    0.019022
2.3485     -0.023618    0.024441
2.3737     -0.015751    0.028963
2.3990     -0.002745    0.028852
2.4242     0.014843    0.023105
2.4495     0.031470    0.008713
2.4747     0.047246    -0.014915
2.5000     0.054250    -0.048672
