- - - XXZ 4 qubits output qDRIFT signals, epsilon= 0.1  - - - 
Seed: 1774064845  Run: 17  Samples:  32000   Time:    0.62856507
dt   Re(C(t))    Im(C(t))
0.0000     0.999999    -0.000882
0.0253     0.977639    -0.203882
0.0505     0.909245    -0.392091
0.0758     0.797505    -0.563127
0.1010     0.656661    -0.695126
0.1263     0.492514    -0.794724
0.1515     0.315682    -0.851109
0.1768     0.131281    -0.865780
0.2020     -0.043372    -0.838444
0.2273     -0.204060    -0.775662
0.2525     -0.330309    -0.681548
0.2778     -0.431649    -0.565000
0.3030     -0.497359    -0.438076
0.3283     -0.531884    -0.304399
0.3535     -0.532166    -0.181505
0.3788     -0.506273    -0.070933
0.4040     -0.461363    0.025367
0.4293     -0.398987    0.100211
0.4545     -0.327660    0.155072
0.4798     -0.254505    0.185251
0.5051     -0.185412    0.194272
0.5303     -0.124010    0.184610
0.5556     -0.076387    0.164228
0.5808     -0.040466    0.137580
0.6061     -0.019182    0.108438
0.6313     -0.007823    0.081087
0.6566     -0.004499    0.058056
0.6818     -0.008447    0.040732
0.7071     -0.013178    0.030519
0.7323     -0.017036    0.026555
0.7576     -0.017877    0.026648
0.7828     -0.013445    0.027933
0.8081     -0.004957    0.027505
0.8333     0.008784    0.023405
0.8586     0.023006    0.012191
0.8838     0.036861    -0.006864
0.9091     0.045806    -0.034366
0.9343     0.045912    -0.070060
0.9596     0.033531    -0.109323
0.9848     0.008173    -0.149015
1.0101     -0.032073    -0.186643
1.0354     -0.086629    -0.213726
1.0606     -0.153205    -0.225034
1.0859     -0.231270    -0.216383
1.1111     -0.313107    -0.192520
1.1364     -0.390914    -0.141374
1.1616     -0.458619    -0.067634
1.1869     -0.516001    0.028971
1.2121     -0.547394    0.144581
1.2374     -0.548596    0.276848
1.2626     -0.522559    0.410493
1.2879     -0.458863    0.542377
1.3131     -0.363291    0.659872
1.3384     -0.239629    0.758613
1.3636     -0.080633    0.828400
1.3889     0.091556    0.860380
1.4141     0.266253    0.856852
1.4394     0.449085    0.807260
1.4646     0.608826    0.723956
1.4899     0.756296    0.595154
1.5152     0.868442    0.439666
1.5404     0.945037    0.258673
1.5657     0.980947    0.066125
1.5909     0.972357    -0.123061
1.6162     0.922145    -0.313050
1.6414     0.834844    -0.475146
1.6667     0.706637    -0.621202
1.6919     0.565377    -0.725370
1.7172     0.400974    -0.797052
1.7424     0.227149    -0.830981
1.7677     0.051092    -0.823009
1.7929     -0.104462    -0.779461
1.8182     -0.237533    -0.705817
1.8434     -0.357188    -0.606131
1.8687     -0.435938    -0.489612
1.8939     -0.483365    -0.365942
1.9192     -0.503142    -0.241151
1.9444     -0.490526    -0.124217
1.9697     -0.456015    -0.021365
1.9949     -0.401507    0.058296
2.0202     -0.337012    0.117140
2.0455     -0.268021    0.155034
2.0707     -0.200170    0.167064
2.0960     -0.140006    0.167639
2.1212     -0.088736    0.154336
2.1465     -0.048807    0.129635
2.1717     -0.023591    0.101475
2.1970     -0.010571    0.074867
2.2222     -0.006731    0.051037
2.2475     -0.009500    0.033363
2.2727     -0.015271    0.023192
2.2980     -0.021045    0.019787
2.3232     -0.024033    0.021313
2.3485     -0.020667    0.025060
2.3737     -0.013139    0.028069
2.3990     -0.000704    0.026565
2.4242     0.015346    0.019257
2.4495     0.030350    0.004368
2.4747     0.044146    -0.019679
2.5000     0.049435    -0.052827
