- - - XXZ 4 qubits output qDRIFT signals, epsilon= 0.1  - - - 
Seed: 440664035  Run: 18  Samples:  32000   Time:    0.60756707
dt   Re(C(t))    Im(C(t))
0.0000     0.999999    -0.000833
0.0253     0.977625    -0.203709
0.0505     0.909918    -0.390283
0.0758     0.797821    -0.562454
0.1010     0.657581    -0.693991
0.1263     0.494174    -0.792870
0.1515     0.317355    -0.849539
0.1768     0.130895    -0.864723
0.2020     -0.043686    -0.837185
0.2273     -0.203466    -0.773931
0.2525     -0.330447    -0.679375
0.2778     -0.430606    -0.563261
0.3030     -0.496558    -0.436428
0.3283     -0.530548    -0.303677
0.3535     -0.530805    -0.180957
0.3788     -0.504936    -0.070359
0.4040     -0.459528    0.026335
0.4293     -0.396734    0.101981
0.4545     -0.324456    0.156437
0.4798     -0.250852    0.186150
0.5051     -0.181510    0.194717
0.5303     -0.120281    0.183986
0.5556     -0.073412    0.162752
0.5808     -0.038004    0.135711
0.6061     -0.017116    0.106525
0.6313     -0.006497    0.078840
0.6566     -0.003792    0.055070
0.6818     -0.008483    0.037934
0.7071     -0.014117    0.028268
0.7323     -0.018895    0.025227
0.7576     -0.019921    0.026252
0.7828     -0.015369    0.028512
0.8081     -0.006490    0.029062
0.8333     0.007861    0.025718
0.8586     0.022934    0.015130
0.8838     0.037930    -0.003545
0.9091     0.048362    -0.030991
0.9343     0.049840    -0.067262
0.9596     0.038803    -0.107567
0.9848     0.014261    -0.148447
1.0101     -0.025097    -0.187806
1.0354     -0.079427    -0.216575
1.0606     -0.146458    -0.229956
1.0859     -0.225256    -0.223372
1.1111     -0.308681    -0.200958
1.1364     -0.388859    -0.150416
1.1616     -0.458199    -0.077991
1.1869     -0.517695    0.017682
1.2121     -0.551111    0.134468
1.2374     -0.554036    0.267062
1.2626     -0.529541    0.401240
1.2879     -0.468064    0.534204
1.3131     -0.374671    0.653086
1.3384     -0.252329    0.753778
1.3636     -0.093826    0.826697
1.3889     0.078057    0.861217
1.4141     0.252931    0.860152
1.4394     0.437003    0.813230
1.4646     0.599132    0.731370
1.4899     0.747987    0.604299
1.5152     0.863193    0.448821
1.5404     0.942885    0.266099
1.5657     0.980528    0.072393
1.5909     0.972865    -0.114629
1.6162     0.924146    -0.305212
1.6414     0.837879    -0.468836
1.6667     0.710365    -0.616077
1.6919     0.568752    -0.722130
1.7172     0.403619    -0.795231
1.7424     0.230592    -0.829338
1.7677     0.054807    -0.822266
1.7929     -0.102029    -0.779284
1.8182     -0.236877    -0.705687
1.8434     -0.354756    -0.606811
1.8687     -0.433861    -0.490196
1.8939     -0.482130    -0.366360
1.9192     -0.502240    -0.241942
1.9444     -0.489538    -0.124539
1.9697     -0.455229    -0.022019
1.9949     -0.401358    0.057633
2.0202     -0.336809    0.116935
2.0455     -0.267234    0.154987
2.0707     -0.199819    0.167059
2.0960     -0.138978    0.167346
2.1212     -0.087532    0.153515
2.1465     -0.047997    0.128731
2.1717     -0.022555    0.100515
2.1970     -0.010027    0.073390
2.2222     -0.006986    0.049570
2.2475     -0.010468    0.032123
2.2727     -0.016756    0.022216
2.2980     -0.022829    0.018987
2.3232     -0.026203    0.021240
2.3485     -0.023056    0.026033
2.3737     -0.015089    0.029795
2.3990     -0.002310    0.029060
2.4242     0.014582    0.022515
2.4495     0.030521    0.007884
2.4747     0.045225    -0.016001
2.5000     0.051500    -0.049342
