- - - XXZ 4 qubits output qDRIFT signals, epsilon= 0.1  - - - 
Seed: 911087825  Run: 21  Samples:  32000   Time:    0.56971812
dt   Re(C(t))    Im(C(t))
0.0000     0.999999    -0.000952
0.0253     0.977601    -0.203641
0.0505     0.910987    -0.387808
0.0758     0.799720    -0.560044
0.1010     0.660120    -0.691561
0.1263     0.496596    -0.791171
0.1515     0.319968    -0.848135
0.1768     0.132695    -0.864122
0.2020     -0.040238    -0.836745
0.2273     -0.198318    -0.774228
0.2525     -0.323656    -0.680705
0.2778     -0.425831    -0.565213
0.3030     -0.492498    -0.438688
0.3283     -0.528680    -0.304569
0.3535     -0.528342    -0.181684
0.3788     -0.502278    -0.070268
0.4040     -0.456601    0.027949
0.4293     -0.393054    0.103854
0.4545     -0.320792    0.157599
0.4798     -0.246723    0.187276
0.5051     -0.177083    0.195141
0.5303     -0.115262    0.183752
0.5556     -0.068510    0.161353
0.5808     -0.033831    0.133422
0.6061     -0.014037    0.103570
0.6313     -0.004558    0.075793
0.6566     -0.002529    0.052250
0.6818     -0.007687    0.035557
0.7071     -0.014328    0.026770
0.7323     -0.019231    0.024652
0.7576     -0.020362    0.026643
0.7828     -0.015285    0.029884
0.8081     -0.004964    0.031389
0.8333     0.010810    0.028498
0.8586     0.026911    0.017747
0.8838     0.043392    -0.001425
0.9091     0.055419    -0.029713
0.9343     0.058241    -0.066985
0.9596     0.048411    -0.108874
0.9848     0.024166    -0.151890
1.0101     -0.015033    -0.193131
1.0354     -0.070723    -0.224282
1.0606     -0.137801    -0.240282
1.0859     -0.218180    -0.236046
1.1111     -0.303032    -0.215438
1.1364     -0.385898    -0.166467
1.1616     -0.458719    -0.094559
1.1869     -0.521156    0.000088
1.2121     -0.557615    0.118740
1.2374     -0.565010    0.252037
1.2626     -0.542992    0.388484
1.2879     -0.483919    0.523723
1.3131     -0.391851    0.646457
1.3384     -0.268135    0.751012
1.3636     -0.108946    0.826892
1.3889     0.067019    0.864029
1.4141     0.245294    0.864069
1.4394     0.431578    0.817245
1.4646     0.594637    0.735924
1.4899     0.743357    0.610793
1.5152     0.859605    0.456401
1.5404     0.939325    0.276767
1.5657     0.978465    0.084511
1.5909     0.972712    -0.105302
1.6162     0.924788    -0.297504
1.6414     0.838776    -0.462932
1.6667     0.711857    -0.611247
1.6919     0.569805    -0.717525
1.7172     0.404892    -0.790126
1.7424     0.230756    -0.825214
1.7677     0.053982    -0.818393
1.7929     -0.102903    -0.774542
1.8182     -0.238663    -0.700113
1.8434     -0.357042    -0.600230
1.8687     -0.436208    -0.481234
1.8939     -0.484045    -0.354341
1.9192     -0.501511    -0.229661
1.9444     -0.486550    -0.113421
1.9697     -0.449419    -0.011238
1.9949     -0.393166    0.067595
2.0202     -0.327091    0.124981
2.0455     -0.257272    0.160909
2.0707     -0.189377    0.172428
2.0960     -0.127840    0.170262
2.1212     -0.076130    0.153766
2.1465     -0.037462    0.127196
2.1717     -0.013006    0.096858
2.1970     -0.002175    0.067970
2.2222     -0.001469    0.043477
2.2475     -0.007107    0.025856
2.2727     -0.015469    0.016615
2.2980     -0.022719    0.014090
2.3232     -0.027443    0.017580
2.3485     -0.025260    0.023918
2.3737     -0.017621    0.029665
2.3990     -0.004464    0.030685
2.4242     0.013911    0.025869
2.4495     0.031502    0.012034
2.4747     0.048285    -0.011154
2.5000     0.056368    -0.044834
