- - - XXZ 4 qubits output qDRIFT signals, epsilon= 0.1  - - - 
Seed: 1349478231  Run: 13  Samples:  32000   Time:    0.69327998
dt   Re(C(t))    Im(C(t))
0.0000     0.999999    -0.000962
0.0253     0.977847    -0.203126
0.0505     0.909331    -0.392076
0.0758     0.798154    -0.562315
0.1010     0.657246    -0.695473
0.1263     0.495640    -0.795080
0.1515     0.319157    -0.851971
0.1768     0.134209    -0.867938
0.2020     -0.039407    -0.840819
0.2273     -0.199243    -0.779435
0.2525     -0.322805    -0.686758
0.2778     -0.427631    -0.570678
0.3030     -0.494057    -0.444645
0.3283     -0.530880    -0.310428
0.3535     -0.533702    -0.188218
0.3788     -0.511058    -0.073001
0.4040     -0.466620    0.024833
0.4293     -0.404889    0.100980
0.4545     -0.334079    0.156648
0.4798     -0.260129    0.186465
0.5051     -0.190242    0.196499
0.5303     -0.127705    0.186740
0.5556     -0.080358    0.165977
0.5808     -0.042917    0.138759
0.6061     -0.020522    0.110297
0.6313     -0.008133    0.082978
0.6566     -0.002209    0.059742
0.6818     -0.005916    0.041754
0.7071     -0.010982    0.031142
0.7323     -0.014959    0.026683
0.7576     -0.016645    0.026400
0.7828     -0.012434    0.027390
0.8081     -0.004414    0.026712
0.8333     0.008519    0.022103
0.8586     0.022238    0.011096
0.8838     0.036136    -0.008053
0.9091     0.045143    -0.034817
0.9343     0.045368    -0.070317
0.9596     0.032377    -0.108761
0.9848     0.007677    -0.147616
1.0101     -0.032491    -0.185833
1.0354     -0.087939    -0.212841
1.0606     -0.154243    -0.222938
1.0859     -0.230140    -0.214551
1.1111     -0.311137    -0.189409
1.1364     -0.389506    -0.136024
1.1616     -0.456219    -0.062333
1.1869     -0.513005    0.033609
1.2121     -0.543948    0.148280
1.2374     -0.543686    0.278377
1.2626     -0.517204    0.411843
1.2879     -0.452636    0.543994
1.3131     -0.356126    0.660433
1.3384     -0.234912    0.758530
1.3636     -0.075409    0.827212
1.3889     0.098343    0.858203
1.4141     0.270105    0.855102
1.4394     0.454094    0.803970
1.4646     0.615584    0.718469
1.4899     0.761075    0.590197
1.5152     0.874121    0.431724
1.5404     0.948534    0.254564
1.5657     0.984132    0.059622
1.5909     0.974329    -0.133868
1.6162     0.922346    -0.321425
1.6414     0.834287    -0.482405
1.6667     0.702260    -0.630854
1.6919     0.559376    -0.734086
1.7172     0.393267    -0.803830
1.7424     0.220826    -0.834848
1.7677     0.042598    -0.825750
1.7929     -0.114078    -0.779343
1.8182     -0.244774    -0.704169
1.8434     -0.360270    -0.603466
1.8687     -0.437792    -0.485860
1.8939     -0.483780    -0.363366
1.9192     -0.502732    -0.239298
1.9444     -0.486752    -0.125188
1.9697     -0.450969    -0.023690
1.9949     -0.395367    0.054134
2.0202     -0.331536    0.110603
2.0455     -0.264605    0.147171
2.0707     -0.198453    0.157935
2.0960     -0.139642    0.158349
2.1212     -0.090825    0.144949
2.1465     -0.053169    0.120316
2.1717     -0.030215    0.092945
2.1970     -0.017641    0.067788
2.2222     -0.015109    0.045900
2.2475     -0.019256    0.029370
2.2727     -0.025226    0.020966
2.2980     -0.030858    0.019236
2.3232     -0.032858    0.022103
2.3485     -0.028516    0.026613
2.3737     -0.020198    0.030169
2.3990     -0.007165    0.029066
2.4242     0.008912    0.021701
2.4495     0.024497    0.007030
2.4747     0.038206    -0.017293
2.5000     0.044816    -0.048927
