- - - XXZ 4 qubits output qDRIFT signals, epsilon= 0.1  - - - 
Seed: 1039128704  Run: 7  Samples:  32000   Time:    0.58513808
dt   Re(C(t))    Im(C(t))
0.0000     0.999999    -0.000714
0.0253     0.978359    -0.197668
0.0505     0.908524    -0.391680
0.0758     0.797292    -0.561733
0.1010     0.652176    -0.697143
0.1263     0.494313    -0.793225
0.1515     0.312099    -0.851221
0.1768     0.129925    -0.864249
0.2020     -0.053531    -0.836868
0.2273     -0.219745    -0.771654
0.2525     -0.338686    -0.677321
0.2778     -0.441437    -0.557597
0.3030     -0.501209    -0.433525
0.3283     -0.537147    -0.297918
0.3535     -0.539944    -0.173873
0.3788     -0.514130    -0.058351
0.4040     -0.467975    0.036570
0.4293     -0.404839    0.112726
0.4545     -0.333636    0.167841
0.4798     -0.255581    0.198729
0.5051     -0.188195    0.207400
0.5303     -0.122075    0.197009
0.5556     -0.073699    0.177521
0.5808     -0.036799    0.148251
0.6061     -0.012089    0.117122
0.6313     0.003199    0.087204
0.6566     0.010593    0.063684
0.6818     0.006922    0.045498
0.7071     0.000471    0.033205
0.7323     -0.003980    0.028270
0.7576     -0.005528    0.026708
0.7828     -0.001591    0.026368
0.8081     0.007010    0.024659
0.8333     0.018846    0.018041
0.8586     0.031676    0.005234
0.8838     0.045005    -0.015099
0.9091     0.052419    -0.043139
0.9343     0.053320    -0.080188
0.9596     0.038942    -0.120043
0.9848     0.013363    -0.161063
1.0101     -0.027435    -0.199921
1.0354     -0.082854    -0.229179
1.0606     -0.150851    -0.238880
1.0859     -0.227502    -0.229448
1.1111     -0.309864    -0.202399
1.1364     -0.387254    -0.147590
1.1616     -0.455355    -0.071448
1.1869     -0.514243    0.027484
1.2121     -0.543421    0.149269
1.2374     -0.542373    0.283374
1.2626     -0.514160    0.416902
1.2879     -0.444938    0.551121
1.3131     -0.349617    0.664351
1.3384     -0.221240    0.761890
1.3636     -0.055628    0.831321
1.3889     0.124428    0.857921
1.4141     0.299255    0.847587
1.4394     0.476590    0.792722
1.4646     0.638205    0.699414
1.4899     0.783022    0.562276
1.5152     0.892737    0.392264
1.5404     0.961501    0.204373
1.5657     0.985585    0.018169
1.5909     0.967723    -0.176950
1.6162     0.906586    -0.364577
1.6414     0.810344    -0.522224
1.6667     0.671372    -0.662753
1.6919     0.523843    -0.759281
1.7172     0.349003    -0.821545
1.7424     0.174911    -0.844778
1.7677     -0.003481    -0.825628
1.7929     -0.163676    -0.768724
1.8182     -0.293793    -0.682051
1.8434     -0.404062    -0.568545
1.8687     -0.473093    -0.441520
1.8939     -0.510377    -0.312451
1.9192     -0.520202    -0.185173
1.9444     -0.495095    -0.069067
1.9697     -0.449401    0.032292
1.9949     -0.383059    0.106969
2.0202     -0.310532    0.159179
2.0455     -0.234972    0.183245
2.0707     -0.163943    0.187404
2.0960     -0.102823    0.177163
2.1212     -0.056142    0.155930
2.1465     -0.020130    0.123998
2.1717     -0.000524    0.089125
2.1970     0.007996    0.059699
2.2222     0.004526    0.034152
2.2475     -0.004526    0.015790
2.2727     -0.014993    0.007044
2.2980     -0.024054    0.006494
2.3232     -0.028669    0.011229
2.3485     -0.027372    0.018180
2.3737     -0.020649    0.024808
2.3990     -0.007651    0.026520
2.4242     0.009022    0.022389
2.4495     0.025313    0.010137
2.4747     0.039938    -0.013674
2.5000     0.050067    -0.044860
