- - - XXZ 4 qubits output qDRIFT signals, epsilon= 0.1  - - - 
Seed: 3621669469  Run: 25  Samples:  32000   Time:    0.60248399
dt   Re(C(t))    Im(C(t))
0.0000     0.999999    -0.000900
0.0253     0.977668    -0.203189
0.0505     0.909615    -0.391055
0.0758     0.798382    -0.561716
0.1010     0.658561    -0.693364
0.1263     0.495620    -0.792220
0.1515     0.318774    -0.848827
0.1768     0.134821    -0.863682
0.2020     -0.038805    -0.836430
0.2273     -0.196728    -0.773201
0.2525     -0.324136    -0.679565
0.2778     -0.426138    -0.564737
0.3030     -0.492707    -0.438391
0.3283     -0.529032    -0.304475
0.3535     -0.529744    -0.180605
0.3788     -0.503661    -0.069889
0.4040     -0.457077    0.027692
0.4293     -0.392920    0.103092
0.4545     -0.321125    0.157451
0.4798     -0.247013    0.188493
0.5051     -0.177201    0.196734
0.5303     -0.115034    0.185316
0.5556     -0.068153    0.163327
0.5808     -0.033171    0.135921
0.6061     -0.013026    0.105718
0.6313     -0.003006    0.078562
0.6566     -0.001177    0.054766
0.6818     -0.006236    0.037598
0.7071     -0.013027    0.028862
0.7323     -0.018279    0.026781
0.7576     -0.019469    0.029022
0.7828     -0.014254    0.032499
0.8081     -0.003705    0.034016
0.8333     0.012592    0.031206
0.8586     0.029659    0.020510
0.8838     0.047121    0.001219
0.9091     0.059900    -0.027358
0.9343     0.063859    -0.064733
0.9596     0.054831    -0.107270
0.9848     0.030597    -0.151390
1.0101     -0.008584    -0.193622
1.0354     -0.064482    -0.226191
1.0606     -0.132625    -0.244415
1.0859     -0.213463    -0.241530
1.1111     -0.299901    -0.221265
1.1364     -0.384697    -0.173362
1.1616     -0.459625    -0.099661
1.1869     -0.522636    -0.004302
1.2121     -0.561020    0.114508
1.2374     -0.568621    0.249379
1.2626     -0.546620    0.385656
1.2879     -0.486995    0.521791
1.3131     -0.395828    0.645246
1.3384     -0.272695    0.750654
1.3636     -0.110784    0.827728
1.3889     0.068475    0.864584
1.4141     0.248313    0.864052
1.4394     0.433585    0.817382
1.4646     0.597698    0.734464
1.4899     0.745666    0.609176
1.5152     0.860754    0.455308
1.5404     0.940408    0.276192
1.5657     0.979100    0.084787
1.5909     0.973339    -0.108287
1.6162     0.923906    -0.302684
1.6414     0.836958    -0.467544
1.6667     0.710344    -0.615099
1.6919     0.566172    -0.722265
1.7172     0.401421    -0.793612
1.7424     0.226964    -0.827512
1.7677     0.050525    -0.820350
1.7929     -0.107695    -0.775978
1.8182     -0.244197    -0.700727
1.8434     -0.359773    -0.599651
1.8687     -0.438468    -0.480214
1.8939     -0.485964    -0.352779
1.9192     -0.503531    -0.227365
1.9444     -0.488444    -0.112075
1.9697     -0.450527    -0.007796
1.9949     -0.393796    0.070649
2.0202     -0.326734    0.128103
2.0455     -0.256242    0.163241
2.0707     -0.187606    0.174951
2.0960     -0.126404    0.172074
2.1212     -0.074863    0.154847
2.1465     -0.037140    0.127432
2.1717     -0.014074    0.096880
2.1970     -0.003492    0.068584
2.2222     -0.002913    0.044573
2.2475     -0.008633    0.027896
2.2727     -0.017108    0.019261
2.2980     -0.024288    0.017648
2.3232     -0.028817    0.021886
2.3485     -0.025619    0.028832
2.3737     -0.017069    0.035090
2.3990     -0.002232    0.036518
2.4242     0.017366    0.031358
2.4495     0.035848    0.016848
2.4747     0.053140    -0.007544
2.5000     0.062293    -0.042360
