- - - XXZ 4 qubits output qDRIFT signals, epsilon= 0.1  - - - 
Seed: 3275724470  Run: 14  Samples:  32000   Time:    0.62965703
dt   Re(C(t))    Im(C(t))
0.0000     0.999999    -0.000893
0.0253     0.977678    -0.204191
0.0505     0.908334    -0.395090
0.0758     0.797045    -0.564664
0.1010     0.655557    -0.697643
0.1263     0.492868    -0.796702
0.1515     0.315635    -0.852898
0.1768     0.131129    -0.867643
0.2020     -0.042672    -0.839557
0.2273     -0.202418    -0.777381
0.2525     -0.325703    -0.683985
0.2778     -0.429981    -0.566980
0.3030     -0.495541    -0.439554
0.3283     -0.531363    -0.305659
0.3535     -0.532234    -0.183956
0.3788     -0.508036    -0.069761
0.4040     -0.463200    0.028086
0.4293     -0.400568    0.103307
0.4545     -0.328816    0.157776
0.4798     -0.255016    0.187281
0.5051     -0.185236    0.195771
0.5303     -0.123224    0.184595
0.5556     -0.076579    0.162996
0.5808     -0.040179    0.135854
0.6061     -0.018741    0.106272
0.6313     -0.007436    0.078501
0.6566     -0.002667    0.055077
0.6818     -0.007641    0.037759
0.7071     -0.013065    0.027538
0.7323     -0.016926    0.023569
0.7576     -0.018840    0.023863
0.7828     -0.014980    0.025425
0.8081     -0.006988    0.025415
0.8333     0.006448    0.021656
0.8586     0.020516    0.011147
0.8838     0.034528    -0.007696
0.9091     0.043831    -0.034394
0.9343     0.044279    -0.069923
0.9596     0.032113    -0.108316
0.9848     0.007608    -0.147501
1.0101     -0.032334    -0.185765
1.0354     -0.087333    -0.213241
1.0606     -0.153458    -0.224537
1.0859     -0.230540    -0.215729
1.1111     -0.312380    -0.190997
1.1364     -0.391129    -0.138776
1.1616     -0.458332    -0.065333
1.1869     -0.515725    0.030663
1.2121     -0.548011    0.145431
1.2374     -0.549285    0.276503
1.2626     -0.523611    0.410345
1.2879     -0.459955    0.542213
1.3131     -0.363680    0.659934
1.3384     -0.242077    0.758554
1.3636     -0.081363    0.828751
1.3889     0.089822    0.861383
1.4141     0.263242    0.859172
1.4394     0.446313    0.809850
1.4646     0.607613    0.726187
1.4899     0.754400    0.599182
1.5152     0.867192    0.444258
1.5404     0.943779    0.268297
1.5657     0.981845    0.073456
1.5909     0.974212    -0.117664
1.6162     0.924887    -0.306245
1.6414     0.839535    -0.466983
1.6667     0.711575    -0.614159
1.6919     0.571004    -0.719751
1.7172     0.406535    -0.792846
1.7424     0.235371    -0.826937
1.7677     0.057419    -0.821105
1.7929     -0.099675    -0.778216
1.8182     -0.231445    -0.705550
1.8434     -0.348387    -0.607367
1.8687     -0.426599    -0.492043
1.8939     -0.476731    -0.369662
1.9192     -0.497566    -0.245808
1.9444     -0.485017    -0.130780
1.9697     -0.450997    -0.028124
1.9949     -0.396689    0.051049
2.0202     -0.333499    0.109596
2.0455     -0.266328    0.147977
2.0707     -0.199859    0.160229
2.0960     -0.140413    0.161772
2.1212     -0.090711    0.148983
2.1465     -0.051358    0.125194
2.1717     -0.026757    0.097880
2.1970     -0.012879    0.071996
2.2222     -0.008762    0.049000
2.2475     -0.011778    0.031622
2.2727     -0.017378    0.021797
2.2980     -0.022892    0.018715
2.3232     -0.025057    0.020358
2.3485     -0.021192    0.024033
2.3737     -0.013216    0.026846
2.3990     -0.000506    0.025031
2.4242     0.015084    0.017130
2.4495     0.030133    0.001986
2.4747     0.043988    -0.022614
2.5000     0.050031    -0.054594
