- - - XXZ 4 qubits output qDRIFT signals, epsilon= 0.1  - - - 
Seed: 385250707  Run: 9  Samples:  32000   Time:    0.56271219
dt   Re(C(t))    Im(C(t))
0.0000     0.999999    -0.000833
0.0253     0.978490    -0.199233
0.0505     0.909537    -0.391184
0.0758     0.796515    -0.563839
0.1010     0.651406    -0.699250
0.1263     0.491341    -0.795519
0.1515     0.312256    -0.851424
0.1768     0.130391    -0.864310
0.2020     -0.046098    -0.836801
0.2273     -0.210530    -0.772466
0.2525     -0.331556    -0.677789
0.2778     -0.435024    -0.559719
0.3030     -0.497952    -0.434267
0.3283     -0.532640    -0.298755
0.3535     -0.531876    -0.176279
0.3788     -0.504648    -0.065294
0.4040     -0.459438    0.029899
0.4293     -0.397706    0.104110
0.4545     -0.328398    0.157370
0.4798     -0.251459    0.187670
0.5051     -0.183981    0.195350
0.5303     -0.120906    0.183412
0.5556     -0.074114    0.162238
0.5808     -0.038749    0.133022
0.6061     -0.017848    0.103461
0.6313     -0.007091    0.076815
0.6566     -0.001474    0.054008
0.6818     -0.006547    0.038069
0.7071     -0.012518    0.028677
0.7323     -0.016511    0.025834
0.7576     -0.018806    0.026676
0.7828     -0.013932    0.029120
0.8081     -0.004378    0.029465
0.8333     0.009345    0.024851
0.8586     0.025000    0.014093
0.8838     0.041451    -0.005365
0.9091     0.052393    -0.033734
0.9343     0.054517    -0.070883
0.9596     0.041902    -0.111522
0.9848     0.017764    -0.153882
1.0101     -0.022759    -0.194854
1.0354     -0.079000    -0.225130
1.0606     -0.146070    -0.237960
1.0859     -0.223835    -0.230294
1.1111     -0.307252    -0.205228
1.1364     -0.387317    -0.152146
1.1616     -0.456404    -0.078321
1.1869     -0.516367    0.020751
1.2121     -0.548656    0.139058
1.2374     -0.551133    0.267693
1.2626     -0.526205    0.402737
1.2879     -0.463925    0.537177
1.3131     -0.369573    0.656674
1.3384     -0.243349    0.757680
1.3636     -0.078979    0.829488
1.3889     0.095598    0.860757
1.4141     0.271312    0.855937
1.4394     0.451960    0.805462
1.4646     0.616068    0.717516
1.4899     0.761953    0.587798
1.5152     0.874516    0.426260
1.5404     0.948357    0.245066
1.5657     0.981213    0.053978
1.5909     0.969887    -0.139724
1.6162     0.914665    -0.330590
1.6414     0.824039    -0.489450
1.6667     0.690595    -0.634330
1.6919     0.545990    -0.735750
1.7172     0.377840    -0.801384
1.7424     0.209152    -0.828354
1.7677     0.035041    -0.815304
1.7929     -0.125021    -0.766155
1.8182     -0.257991    -0.687275
1.8434     -0.370447    -0.582480
1.8687     -0.443780    -0.461789
1.8939     -0.485825    -0.335094
1.9192     -0.498350    -0.211287
1.9444     -0.477271    -0.099781
1.9697     -0.436062    -0.002751
1.9949     -0.375686    0.070629
2.0202     -0.310543    0.124349
2.0455     -0.241351    0.153151
2.0707     -0.174695    0.158703
2.0960     -0.116534    0.152258
2.1212     -0.072409    0.137076
2.1465     -0.038085    0.109251
2.1717     -0.020344    0.078612
2.1970     -0.012347    0.051974
2.2222     -0.014825    0.030832
2.2475     -0.022388    0.015681
2.2727     -0.031473    0.009445
2.2980     -0.039331    0.010826
2.3232     -0.041835    0.017376
2.3485     -0.037345    0.025866
2.3737     -0.028232    0.032734
2.3990     -0.013117    0.034102
2.4242     0.005474    0.029701
2.4495     0.023752    0.016263
2.4747     0.039542    -0.008370
2.5000     0.050583    -0.040350
