- - - XXZ 4 qubits output qDRIFT signals, epsilon= 0.1  - - - 
Seed: 911535634  Run: 22  Samples:  32000   Time:    0.76683307
dt   Re(C(t))    Im(C(t))
0.0000     0.999999    -0.000909
0.0253     0.977494    -0.204186
0.0505     0.910230    -0.389574
0.0758     0.798594    -0.561405
0.1010     0.658194    -0.693316
0.1263     0.495090    -0.791930
0.1515     0.316755    -0.849059
0.1768     0.131029    -0.863929
0.2020     -0.042887    -0.836214
0.2273     -0.201106    -0.772933
0.2525     -0.326338    -0.678966
0.2778     -0.428088    -0.563217
0.3030     -0.493932    -0.436654
0.3283     -0.529186    -0.302626
0.3535     -0.528831    -0.179746
0.3788     -0.502745    -0.068865
0.4040     -0.456645    0.029571
0.4293     -0.392777    0.105040
0.4545     -0.320393    0.158938
0.4798     -0.245915    0.189176
0.5051     -0.176096    0.197109
0.5303     -0.114733    0.185390
0.5556     -0.068407    0.163173
0.5808     -0.033743    0.135228
0.6061     -0.013792    0.105808
0.6313     -0.004126    0.078024
0.6566     -0.001730    0.054572
0.6818     -0.006511    0.037524
0.7071     -0.012955    0.028326
0.7323     -0.017996    0.025987
0.7576     -0.019080    0.027736
0.7828     -0.014142    0.030713
0.8081     -0.004072    0.031968
0.8333     0.011639    0.028990
0.8586     0.027898    0.018231
0.8838     0.044264    -0.000976
0.9091     0.056138    -0.029286
0.9343     0.058838    -0.066447
0.9596     0.048842    -0.108195
0.9848     0.024507    -0.151106
1.0101     -0.014844    -0.192287
1.0354     -0.070577    -0.223619
1.0606     -0.138363    -0.239312
1.0859     -0.218499    -0.234771
1.1111     -0.303063    -0.213287
1.1364     -0.385824    -0.164263
1.1616     -0.458777    -0.091536
1.1869     -0.519945    0.003449
1.2121     -0.555713    0.121741
1.2374     -0.562116    0.255587
1.2626     -0.538617    0.391867
1.2879     -0.478290    0.526694
1.3131     -0.385451    0.648409
1.3384     -0.261779    0.751634
1.3636     -0.101558    0.826572
1.3889     0.075233    0.861655
1.4141     0.253289    0.860065
1.4394     0.437052    0.813041
1.4646     0.598740    0.731411
1.4899     0.746599    0.605850
1.5152     0.861965    0.451464
1.5404     0.940850    0.272486
1.5657     0.979283    0.079320
1.5909     0.972745    -0.110932
1.6162     0.923248    -0.304449
1.6414     0.836194    -0.469584
1.6667     0.709207    -0.616717
1.6919     0.565910    -0.722983
1.7172     0.400025    -0.795256
1.7424     0.225770    -0.829457
1.7677     0.049121    -0.822044
1.7929     -0.107465    -0.777533
1.8182     -0.242787    -0.702487
1.8434     -0.361724    -0.601804
1.8687     -0.441700    -0.481593
1.8939     -0.488941    -0.354472
1.9192     -0.505979    -0.229520
1.9444     -0.491109    -0.113295
1.9697     -0.453888    -0.009078
1.9949     -0.397033    0.070072
2.0202     -0.330356    0.128048
2.0455     -0.260178    0.164775
2.0707     -0.191342    0.176799
2.0960     -0.129160    0.174937
2.1212     -0.076371    0.158874
2.1465     -0.037516    0.132084
2.1717     -0.012759    0.101449
2.1970     -0.001564    0.072353
2.2222     -0.000293    0.047670
2.2475     -0.005180    0.029903
2.2727     -0.013044    0.020363
2.2980     -0.019881    0.017415
2.3232     -0.024328    0.020348
2.3485     -0.021499    0.025888
2.3737     -0.013673    0.030873
2.3990     -0.000537    0.031093
2.4242     0.017589    0.025583
2.4495     0.034278    0.010809
2.4747     0.050198    -0.013240
2.5000     0.057474    -0.047292
