- - - XXZ 4 qubits output qDRIFT signals, epsilon= 2.5  - - - 
Seed: 2165387221  Run: 15  Samples:  1280   Time:    0.02784777
dt   Re(C(t))    Im(C(t))
0.0000     0.599375    -0.012492
0.0253     0.572640    -0.156026
0.0505     0.527554    -0.250815
0.0758     0.458352    -0.343367
0.1010     0.390903    -0.402126
0.1263     0.310586    -0.445996
0.1515     0.218655    -0.477068
0.1768     0.108356    -0.488359
0.2020     0.013208    -0.467630
0.2273     -0.076843    -0.427697
0.2525     -0.149679    -0.377226
0.2778     -0.210648    -0.312839
0.3030     -0.253336    -0.244968
0.3283     -0.287370    -0.165033
0.3535     -0.291450    -0.098535
0.3788     -0.277853    -0.041165
0.4040     -0.246059    0.001973
0.4293     -0.211313    0.050216
0.4545     -0.168410    0.079432
0.4798     -0.141324    0.098315
0.5051     -0.098908    0.109282
0.5303     -0.064124    0.103539
0.5556     -0.034248    0.088088
0.5808     -0.013606    0.076517
0.6061     0.011694    0.056955
0.6313     0.027006    0.028141
0.6566     0.029609    0.017963
0.6818     0.025874    0.007494
0.7071     0.020897    0.003382
0.7323     0.020246    -0.001202
0.7576     0.018728    -0.000564
0.7828     0.028706    -0.007700
0.8081     0.038057    -0.014615
0.8333     0.045614    -0.028220
0.8586     0.047142    -0.039554
0.8838     0.038044    -0.050481
0.9091     0.035036    -0.059982
0.9343     0.030667    -0.076292
0.9596     0.020839    -0.091862
0.9848     -0.009302    -0.102477
1.0101     -0.033968    -0.110580
1.0354     -0.066707    -0.118610
1.0606     -0.098426    -0.115503
1.0859     -0.132740    -0.099245
1.1111     -0.158834    -0.083081
1.1364     -0.190030    -0.057017
1.1616     -0.211748    -0.019453
1.1869     -0.223282    0.029721
1.2121     -0.222586    0.082113
1.2374     -0.210921    0.128321
1.2626     -0.188016    0.182233
1.2879     -0.146833    0.216823
1.3131     -0.088252    0.250869
1.3384     -0.036013    0.272153
1.3636     0.012945    0.284891
1.3889     0.073608    0.279556
1.4141     0.125538    0.263739
1.4394     0.169564    0.237715
1.4646     0.208196    0.215922
1.4899     0.248369    0.186072
1.5152     0.279269    0.124464
1.5404     0.296357    0.076811
1.5657     0.308298    0.030418
1.5909     0.307445    -0.026131
1.6162     0.284478    -0.087392
1.6414     0.254326    -0.152156
1.6667     0.209626    -0.210397
1.6919     0.155879    -0.252989
1.7172     0.099670    -0.270267
1.7424     0.045587    -0.265410
1.7677     -0.024260    -0.249056
1.7929     -0.059605    -0.235010
1.8182     -0.098956    -0.205890
1.8434     -0.127874    -0.170039
1.8687     -0.148892    -0.139546
1.8939     -0.153064    -0.097369
1.9192     -0.146775    -0.051248
1.9444     -0.135877    -0.022293
1.9697     -0.102885    0.014689
1.9949     -0.082283    0.037590
2.0202     -0.052947    0.038796
2.0455     -0.047527    0.054125
2.0707     -0.022370    0.046956
2.0960     -0.006528    0.037767
2.1212     0.007431    0.029743
2.1465     0.023381    0.014409
2.1717     0.027457    0.003904
2.1970     0.022596    -0.015783
2.2222     0.017476    -0.036070
2.2475     0.013994    -0.042104
2.2727     0.007907    -0.039965
2.2980     0.006327    -0.041882
2.3232     -0.005381    -0.047566
2.3485     -0.016571    -0.051717
2.3737     -0.022930    -0.047636
2.3990     -0.018694    -0.046087
2.4242     -0.017072    -0.042905
2.4495     -0.018433    -0.043651
2.4747     -0.024280    -0.045842
2.5000     -0.037139    -0.038877
