- - - XXZ 4 qubits output qDRIFT signals, epsilon= 0.1  - - - 
Seed: 3105746175  Run: 23  Samples:  32000   Time:    0.59262705
dt   Re(C(t))    Im(C(t))
0.0000     0.999999    -0.000870
0.0253     0.977283    -0.205098
0.0505     0.909815    -0.390555
0.0758     0.798382    -0.561737
0.1010     0.658796    -0.692866
0.1263     0.495787    -0.791521
0.1515     0.317665    -0.848468
0.1768     0.132252    -0.863492
0.2020     -0.041228    -0.835965
0.2273     -0.198868    -0.772696
0.2525     -0.325136    -0.678775
0.2778     -0.427341    -0.563205
0.3030     -0.493131    -0.437004
0.3283     -0.529220    -0.303121
0.3535     -0.529863    -0.179425
0.3788     -0.503359    -0.068841
0.4040     -0.456853    0.029147
0.4293     -0.393347    0.105218
0.4545     -0.321268    0.159730
0.4798     -0.246676    0.190582
0.5051     -0.176581    0.198609
0.5303     -0.114989    0.187554
0.5556     -0.068253    0.165523
0.5808     -0.033194    0.137628
0.6061     -0.012995    0.107678
0.6313     -0.002978    0.080013
0.6566     -0.000405    0.056360
0.6818     -0.005282    0.039256
0.7071     -0.011533    0.029979
0.7323     -0.016247    0.027465
0.7576     -0.017322    0.029015
0.7828     -0.012148    0.031714
0.8081     -0.001723    0.032694
0.8333     0.014118    0.029309
0.8586     0.030503    0.018278
0.8838     0.046960    -0.001372
0.9091     0.058897    -0.030036
0.9343     0.061605    -0.067479
0.9596     0.051698    -0.109903
0.9848     0.026740    -0.153406
1.0101     -0.013255    -0.194780
1.0354     -0.069477    -0.226263
1.0606     -0.137585    -0.242307
1.0859     -0.218091    -0.238025
1.1111     -0.303219    -0.216704
1.1364     -0.386666    -0.167402
1.1616     -0.460013    -0.093270
1.1869     -0.521484    0.002562
1.2121     -0.557585    0.120914
1.2374     -0.563845    0.255271
1.2626     -0.540275    0.391998
1.2879     -0.479523    0.527224
1.3131     -0.386402    0.648929
1.3384     -0.262859    0.751940
1.3636     -0.101501    0.826902
1.3889     0.075933    0.861653
1.4141     0.254861    0.859649
1.4394     0.439052    0.811927
1.4646     0.601309    0.729162
1.4899     0.749193    0.602651
1.5152     0.864059    0.446774
1.5404     0.941909    0.267618
1.5657     0.979289    0.075822
1.5909     0.972028    -0.114333
1.6162     0.921810    -0.307474
1.6414     0.833636    -0.473145
1.6667     0.706588    -0.619354
1.6919     0.561999    -0.725680
1.7172     0.396484    -0.796812
1.7424     0.221923    -0.830324
1.7677     0.044405    -0.822238
1.7929     -0.111358    -0.776877
1.8182     -0.246985    -0.701294
1.8434     -0.365326    -0.600237
1.8687     -0.444395    -0.480055
1.8939     -0.492222    -0.351732
1.9192     -0.508558    -0.226874
1.9444     -0.493268    -0.111505
1.9697     -0.456127    -0.006027
1.9949     -0.399062    0.072723
2.0202     -0.331926    0.130636
2.0455     -0.261564    0.167096
2.0707     -0.192450    0.179347
2.0960     -0.130357    0.177275
2.1212     -0.077621    0.161041
2.1465     -0.038506    0.134304
2.1717     -0.013807    0.103798
2.1970     -0.001795    0.075167
2.2222     -0.000263    0.050438
2.2475     -0.004692    0.032793
2.2727     -0.012259    0.022945
2.2980     -0.018867    0.019795
2.3232     -0.023227    0.022550
2.3485     -0.020137    0.027767
2.3737     -0.012498    0.032429
2.3990     0.000823    0.032409
2.4242     0.018962    0.026491
2.4495     0.035541    0.011302
2.4747     0.051314    -0.013035
2.5000     0.058468    -0.047340
