- - - XXZ 4 qubits output qDRIFT signals, epsilon= 0.1  - - - 
Seed: 1029698954  Run: 8  Samples:  32000   Time:    0.58018303
dt   Re(C(t))    Im(C(t))
0.0000     0.999999    -0.000625
0.0253     0.978199    -0.199923
0.0505     0.908136    -0.394152
0.0758     0.796812    -0.563517
0.1010     0.652884    -0.697819
0.1263     0.494745    -0.794269
0.1515     0.315156    -0.851246
0.1768     0.135067    -0.865105
0.2020     -0.042626    -0.838826
0.2273     -0.206247    -0.776309
0.2525     -0.327282    -0.683532
0.2778     -0.434055    -0.564816
0.3030     -0.496638    -0.440155
0.3283     -0.533209    -0.305735
0.3535     -0.535348    -0.183612
0.3788     -0.509725    -0.070659
0.4040     -0.465591    0.026495
0.4293     -0.404555    0.102192
0.4545     -0.335594    0.159076
0.4798     -0.258047    0.190961
0.5051     -0.190523    0.201428
0.5303     -0.125455    0.191002
0.5556     -0.077225    0.170578
0.5808     -0.039931    0.141601
0.6061     -0.016098    0.111763
0.6313     -0.002894    0.083928
0.6566     0.004070    0.060754
0.6818     -0.000041    0.043209
0.7071     -0.005611    0.032027
0.7323     -0.010094    0.027630
0.7576     -0.012792    0.027015
0.7828     -0.007848    0.028136
0.8081     0.000817    0.027208
0.8333     0.013336    0.021885
0.8586     0.027772    0.010597
0.8838     0.042620    -0.008824
0.9091     0.052395    -0.036925
0.9343     0.054205    -0.074069
0.9596     0.041188    -0.114437
0.9848     0.017596    -0.156469
1.0101     -0.022963    -0.196454
1.0354     -0.078279    -0.227225
1.0606     -0.145517    -0.239208
1.0859     -0.222103    -0.231661
1.1111     -0.304666    -0.205232
1.1364     -0.383010    -0.152171
1.1616     -0.452556    -0.078523
1.1869     -0.511948    0.020364
1.2121     -0.542401    0.138914
1.2374     -0.544114    0.268143
1.2626     -0.519810    0.401757
1.2879     -0.456972    0.535249
1.3131     -0.366168    0.651365
1.3384     -0.243226    0.751540
1.3636     -0.079681    0.824482
1.3889     0.093757    0.856681
1.4141     0.266633    0.853192
1.4394     0.447680    0.804394
1.4646     0.612703    0.717004
1.4899     0.761573    0.585118
1.5152     0.875202    0.421720
1.5404     0.949453    0.239508
1.5657     0.982104    0.050398
1.5909     0.971196    -0.147948
1.6162     0.915558    -0.340143
1.6414     0.824685    -0.498428
1.6667     0.690587    -0.643540
1.6919     0.545022    -0.746102
1.7172     0.372306    -0.813670
1.7424     0.200176    -0.841441
1.7677     0.020800    -0.828192
1.7929     -0.140845    -0.775992
1.8182     -0.273653    -0.693732
1.8434     -0.387407    -0.584279
1.8687     -0.462854    -0.459674
1.8939     -0.505650    -0.329423
1.9192     -0.518662    -0.201427
1.9444     -0.496347    -0.085674
1.9697     -0.452693    0.015735
1.9949     -0.388290    0.090493
2.0202     -0.319672    0.145456
2.0455     -0.246436    0.174051
2.0707     -0.177422    0.179908
2.0960     -0.116484    0.173752
2.1212     -0.069240    0.157195
2.1465     -0.032328    0.127529
2.1717     -0.011585    0.094825
2.1970     -0.001348    0.066775
2.2222     -0.002223    0.042573
2.2475     -0.008713    0.024875
2.2727     -0.016681    0.016262
2.2980     -0.023915    0.014514
2.3232     -0.026703    0.018048
2.3485     -0.023836    0.023532
2.3737     -0.016065    0.028575
2.3990     -0.002214    0.028702
2.4242     0.015325    0.023039
2.4495     0.031291    0.009285
2.4747     0.045919    -0.015222
2.5000     0.054917    -0.048036
