- - - XXZ 4 qubits output qDRIFT signals, epsilon= 0.1  - - - 
Seed: 779124258  Run: 24  Samples:  32000   Time:    0.60209322
dt   Re(C(t))    Im(C(t))
0.0000     0.999999    -0.000833
0.0253     0.977508    -0.203794
0.0505     0.910291    -0.389478
0.0758     0.799203    -0.560483
0.1010     0.659790    -0.692143
0.1263     0.496858    -0.791420
0.1515     0.319678    -0.848407
0.1768     0.135695    -0.863419
0.2020     -0.039111    -0.836406
0.2273     -0.197179    -0.773158
0.2525     -0.323990    -0.679454
0.2778     -0.426470    -0.564381
0.3030     -0.493006    -0.437887
0.3283     -0.528986    -0.304047
0.3535     -0.529714    -0.180462
0.3788     -0.503246    -0.069881
0.4040     -0.457215    0.028040
0.4293     -0.393477    0.104177
0.4545     -0.321442    0.158691
0.4798     -0.247232    0.189606
0.5051     -0.177173    0.197803
0.5303     -0.115170    0.186416
0.5556     -0.068173    0.163967
0.5808     -0.033226    0.136271
0.6061     -0.012997    0.106090
0.6313     -0.003152    0.078612
0.6566     -0.001182    0.054842
0.6818     -0.006103    0.037633
0.7071     -0.013014    0.028797
0.7323     -0.018095    0.026528
0.7576     -0.019273    0.028540
0.7828     -0.014242    0.031820
0.8081     -0.003860    0.033194
0.8333     0.012208    0.030249
0.8586     0.029015    0.019618
0.8838     0.046184    0.000376
0.9091     0.058693    -0.028060
0.9343     0.062235    -0.065408
0.9596     0.053096    -0.107793
0.9848     0.028731    -0.151668
1.0101     -0.010529    -0.193754
1.0354     -0.066532    -0.225849
1.0606     -0.134981    -0.243103
1.0859     -0.215446    -0.239663
1.1111     -0.300836    -0.219302
1.1364     -0.385296    -0.170739
1.1616     -0.459617    -0.097100
1.1869     -0.522053    -0.001256
1.2121     -0.559567    0.117572
1.2374     -0.566382    0.252502
1.2626     -0.543408    0.388853
1.2879     -0.483266    0.524535
1.3131     -0.391995    0.646590
1.3384     -0.268384    0.751166
1.3636     -0.106747    0.827349
1.3889     0.071475    0.863281
1.4141     0.250749    0.862171
1.4394     0.436229    0.814839
1.4646     0.600011    0.731654
1.4899     0.747889    0.605637
1.5152     0.862881    0.450396
1.5404     0.941172    0.272050
1.5657     0.979379    0.079972
1.5909     0.972718    -0.112169
1.6162     0.922717    -0.305864
1.6414     0.834952    -0.471237
1.6667     0.707658    -0.618367
1.6919     0.563202    -0.724847
1.7172     0.397353    -0.796149
1.7424     0.221908    -0.829728
1.7677     0.044621    -0.821626
1.7929     -0.111953    -0.776275
1.8182     -0.247300    -0.700576
1.8434     -0.363458    -0.599251
1.8687     -0.442087    -0.479135
1.8939     -0.489889    -0.350734
1.9192     -0.506615    -0.225693
1.9444     -0.491119    -0.110283
1.9697     -0.453698    -0.005205
1.9949     -0.396509    0.073435
2.0202     -0.329022    0.130858
2.0455     -0.257874    0.166471
2.0707     -0.188478    0.178170
2.0960     -0.126714    0.175326
2.1212     -0.074620    0.158007
2.1465     -0.036328    0.130625
2.1717     -0.012576    0.099978
2.1970     -0.001548    0.071241
2.2222     -0.000944    0.046711
2.2475     -0.006440    0.029464
2.2727     -0.014781    0.020262
2.2980     -0.021922    0.017890
2.3232     -0.026591    0.021391
2.3485     -0.023619    0.027633
2.3737     -0.015780    0.033248
2.3990     -0.001854    0.034255
2.4242     0.016945    0.028876
2.4495     0.034532    0.014274
2.4747     0.051163    -0.009807
2.5000     0.059280    -0.044338
