- - - XXZ 4 qubits output qDRIFT signals, epsilon= 0.1  - - - 
Seed: 71570288  Run: 12  Samples:  32000   Time:    0.59239101
dt   Re(C(t))    Im(C(t))
0.0000     0.999999    -0.001042
0.0253     0.977569    -0.204747
0.0505     0.908086    -0.395536
0.0758     0.797060    -0.564057
0.1010     0.655397    -0.697052
0.1263     0.494469    -0.795388
0.1515     0.318332    -0.851834
0.1768     0.133269    -0.867288
0.2020     -0.039959    -0.839940
0.2273     -0.200224    -0.778618
0.2525     -0.322806    -0.685736
0.2778     -0.426610    -0.570554
0.3030     -0.493215    -0.444609
0.3283     -0.528772    -0.311296
0.3535     -0.532376    -0.189064
0.3788     -0.509259    -0.074915
0.4040     -0.465070    0.023231
0.4293     -0.403229    0.098932
0.4545     -0.333346    0.154859
0.4798     -0.258674    0.184233
0.5051     -0.190231    0.193391
0.5303     -0.127300    0.183503
0.5556     -0.079524    0.163407
0.5808     -0.042836    0.136523
0.6061     -0.021211    0.108922
0.6313     -0.008864    0.081887
0.6566     -0.002304    0.058734
0.6818     -0.005924    0.040420
0.7071     -0.011227    0.029843
0.7323     -0.015116    0.025308
0.7576     -0.017145    0.024899
0.7828     -0.012983    0.025873
0.8081     -0.005110    0.025070
0.8333     0.007433    0.020293
0.8586     0.021464    0.009383
0.8838     0.035441    -0.009843
0.9091     0.044329    -0.036682
0.9343     0.044618    -0.072108
0.9596     0.031502    -0.110562
0.9848     0.006416    -0.149787
1.0101     -0.034149    -0.187828
1.0354     -0.089765    -0.214782
1.0606     -0.156269    -0.224243
1.0859     -0.232730    -0.214824
1.1111     -0.314117    -0.189011
1.1364     -0.392738    -0.135985
1.1616     -0.458429    -0.060483
1.1869     -0.515180    0.035281
1.2121     -0.546019    0.151107
1.2374     -0.545353    0.281159
1.2626     -0.519128    0.413778
1.2879     -0.453803    0.546359
1.3131     -0.357043    0.662991
1.3384     -0.234406    0.761325
1.3636     -0.073571    0.830162
1.3889     0.100849    0.860354
1.4141     0.273655    0.855709
1.4394     0.455527    0.804169
1.4646     0.616934    0.717603
1.4899     0.761800    0.589726
1.5152     0.875482    0.428952
1.5404     0.949413    0.250005
1.5657     0.983994    0.053995
1.5909     0.972736    -0.140552
1.6162     0.919781    -0.326292
1.6414     0.829766    -0.487989
1.6667     0.696687    -0.634951
1.6919     0.554854    -0.735149
1.7172     0.388947    -0.802932
1.7424     0.218803    -0.832072
1.7677     0.041488    -0.822527
1.7929     -0.115174    -0.775893
1.8182     -0.244701    -0.700305
1.8434     -0.358417    -0.599790
1.8687     -0.435727    -0.482571
1.8939     -0.481971    -0.358520
1.9192     -0.500220    -0.234036
1.9444     -0.483359    -0.120544
1.9697     -0.447205    -0.019199
1.9949     -0.390199    0.059237
2.0202     -0.326791    0.116599
2.0455     -0.258401    0.152174
2.0707     -0.191418    0.161102
2.0960     -0.132192    0.160018
2.1212     -0.083965    0.145857
2.1465     -0.046349    0.120784
2.1717     -0.024156    0.091999
2.1970     -0.012221    0.065972
2.2222     -0.010441    0.043681
2.2475     -0.014609    0.027004
2.2727     -0.021260    0.018439
2.2980     -0.027321    0.016910
2.3232     -0.029258    0.019779
2.3485     -0.024517    0.024533
2.3737     -0.016108    0.027766
2.3990     -0.002720    0.026398
2.4242     0.013203    0.018858
2.4495     0.028426    0.003483
2.4747     0.042326    -0.021116
2.5000     0.048817    -0.053322
