- - - XXZ 4 qubits output qDRIFT signals, epsilon= 0.1  - - - 
Seed: 3249893253  Run: 10  Samples:  32000   Time:    0.60674810
dt   Re(C(t))    Im(C(t))
0.0000     0.999999    -0.001000
0.0253     0.978027    -0.202095
0.0505     0.908835    -0.393648
0.0758     0.795844    -0.565417
0.1010     0.652011    -0.700076
0.1263     0.491299    -0.797226
0.1515     0.312413    -0.853556
0.1768     0.130920    -0.867055
0.2020     -0.045049    -0.839695
0.2273     -0.206369    -0.776509
0.2525     -0.325822    -0.683413
0.2778     -0.429717    -0.567087
0.3030     -0.493920    -0.443118
0.3283     -0.529761    -0.309452
0.3535     -0.532874    -0.186864
0.3788     -0.509244    -0.073212
0.4040     -0.465897    0.023311
0.4293     -0.405532    0.099472
0.4545     -0.336633    0.155540
0.4798     -0.260406    0.187080
0.5051     -0.193281    0.196987
0.5303     -0.129700    0.186193
0.5556     -0.081743    0.166988
0.5808     -0.045135    0.139741
0.6061     -0.022749    0.110815
0.6313     -0.009573    0.084227
0.6566     -0.002108    0.060857
0.6818     -0.005623    0.043913
0.7071     -0.010208    0.033027
0.7323     -0.013318    0.028789
0.7576     -0.014994    0.028149
0.7828     -0.010395    0.028793
0.8081     -0.002208    0.027455
0.8333     0.010900    0.021849
0.8586     0.024631    0.010347
0.8838     0.038514    -0.009278
0.9091     0.046908    -0.036466
0.9343     0.047772    -0.072712
0.9596     0.034453    -0.111596
0.9848     0.009220    -0.150842
1.0101     -0.032346    -0.188931
1.0354     -0.088366    -0.216654
1.0606     -0.155126    -0.225728
1.0859     -0.231119    -0.215708
1.1111     -0.312096    -0.189060
1.1364     -0.389870    -0.136530
1.1616     -0.455904    -0.061825
1.1869     -0.512711    0.035552
1.2121     -0.541422    0.152451
1.2374     -0.541091    0.280315
1.2626     -0.512771    0.413408
1.2879     -0.448652    0.544665
1.3131     -0.350390    0.660610
1.3384     -0.226155    0.757873
1.3636     -0.062640    0.826099
1.3889     0.111490    0.853736
1.4141     0.283950    0.847262
1.4394     0.464102    0.793734
1.4646     0.625096    0.704957
1.4899     0.768276    0.575402
1.5152     0.878498    0.414547
1.5404     0.950403    0.233464
1.5657     0.981594    0.041818
1.5909     0.968200    -0.153425
1.6162     0.912541    -0.340572
1.6414     0.822489    -0.496815
1.6667     0.687648    -0.642448
1.6919     0.543182    -0.742751
1.7172     0.373950    -0.808563
1.7424     0.202761    -0.835725
1.7677     0.030651    -0.822331
1.7929     -0.125625    -0.773308
1.8182     -0.257035    -0.695834
1.8434     -0.371393    -0.592489
1.8687     -0.445988    -0.472185
1.8939     -0.489500    -0.346771
1.9192     -0.504414    -0.221744
1.9444     -0.485391    -0.110003
1.9697     -0.446535    -0.010355
1.9949     -0.388309    0.066682
2.0202     -0.323851    0.124230
2.0455     -0.254693    0.156574
2.0707     -0.187207    0.164049
2.0960     -0.128054    0.160981
2.1212     -0.081173    0.147193
2.1465     -0.044101    0.121559
2.1717     -0.023808    0.091842
2.1970     -0.012550    0.064969
2.2222     -0.012040    0.042889
2.2475     -0.017015    0.026615
2.2727     -0.024187    0.018458
2.2980     -0.031178    0.017419
2.3232     -0.032864    0.021298
2.3485     -0.028599    0.027140
2.3737     -0.020192    0.031210
2.3990     -0.006153    0.030534
2.4242     0.010517    0.023891
2.4495     0.026537    0.009050
2.4747     0.040201    -0.015884
2.5000     0.047794    -0.047755
