- - - XXZ 4 qubits output qDRIFT signals, epsilon= 0.1  - - - 
Seed: 1424893859  Run: 11  Samples:  32000   Time:    0.58619905
dt   Re(C(t))    Im(C(t))
0.0000     0.999999    -0.001136
0.0253     0.977601    -0.204199
0.0505     0.907763    -0.396000
0.0758     0.795213    -0.566149
0.1010     0.651594    -0.700092
0.1263     0.490932    -0.797160
0.1515     0.314191    -0.852914
0.1768     0.132042    -0.866951
0.2020     -0.041796    -0.839711
0.2273     -0.201409    -0.777890
0.2525     -0.322442    -0.685441
0.2778     -0.427045    -0.570436
0.3030     -0.492995    -0.445484
0.3283     -0.530052    -0.311341
0.3535     -0.533339    -0.188116
0.3788     -0.509754    -0.074844
0.4040     -0.466060    0.022919
0.4293     -0.404947    0.098705
0.4545     -0.335040    0.155617
0.4798     -0.258811    0.185956
0.5051     -0.191291    0.194641
0.5303     -0.127749    0.184147
0.5556     -0.080349    0.164909
0.5808     -0.043490    0.137714
0.6061     -0.021824    0.110003
0.6313     -0.009275    0.083989
0.6566     -0.001765    0.060468
0.6818     -0.005242    0.043066
0.7071     -0.010098    0.032772
0.7323     -0.013540    0.028523
0.7576     -0.014775    0.028022
0.7828     -0.010091    0.028673
0.8081     -0.001721    0.027269
0.8333     0.011502    0.021767
0.8586     0.025690    0.010129
0.8838     0.039798    -0.010073
0.9091     0.048271    -0.037864
0.9343     0.048300    -0.074199
0.9596     0.034660    -0.113311
0.9848     0.009075    -0.152451
1.0101     -0.032370    -0.190238
1.0354     -0.088299    -0.217638
1.0606     -0.154888    -0.227395
1.0859     -0.232086    -0.217783
1.1111     -0.313832    -0.191567
1.1364     -0.392759    -0.139277
1.1616     -0.458833    -0.063378
1.1869     -0.515387    0.033008
1.2121     -0.545068    0.149811
1.2374     -0.544000    0.280196
1.2626     -0.517498    0.413303
1.2879     -0.454320    0.545193
1.3131     -0.357234    0.661086
1.3384     -0.236119    0.758785
1.3636     -0.074165    0.828158
1.3889     0.100322    0.858311
1.4141     0.273681    0.853323
1.4394     0.456403    0.801012
1.4646     0.617719    0.713813
1.4899     0.761852    0.586026
1.5152     0.875125    0.424956
1.5404     0.948241    0.246734
1.5657     0.982282    0.052433
1.5909     0.970759    -0.143717
1.6162     0.917323    -0.328876
1.6414     0.829139    -0.487001
1.6667     0.696796    -0.633772
1.6919     0.554816    -0.735082
1.7172     0.387897    -0.803400
1.7424     0.219072    -0.832019
1.7677     0.043980    -0.822806
1.7929     -0.114007    -0.776562
1.8182     -0.243196    -0.701818
1.8434     -0.356522    -0.601794
1.8687     -0.434574    -0.484399
1.8939     -0.481939    -0.360054
1.9192     -0.499911    -0.235125
1.9444     -0.484324    -0.122502
1.9697     -0.446925    -0.022257
1.9949     -0.390841    0.057431
2.0202     -0.327605    0.115356
2.0455     -0.260144    0.150879
2.0707     -0.193600    0.159945
2.0960     -0.134700    0.159561
2.1212     -0.086475    0.146815
2.1465     -0.048465    0.122394
2.1717     -0.026114    0.094079
2.1970     -0.013810    0.067983
2.2222     -0.011736    0.046265
2.2475     -0.015487    0.029833
2.2727     -0.021419    0.021308
2.2980     -0.026940    0.020208
2.3232     -0.028362    0.023242
2.3485     -0.022723    0.028329
2.3737     -0.013777    0.031366
2.3990     0.000459    0.029896
2.4242     0.017114    0.022249
2.4495     0.033298    0.006551
2.4747     0.047483    -0.019426
2.5000     0.054749    -0.052743
