- - - XXZ 4 qubits output qDRIFT signals, epsilon= 2.5  - - - 
Seed: 3422810130  Run: 19  Samples:  1280   Time:    0.03092790
dt   Re(C(t))    Im(C(t))
0.0000     0.759141    -0.012492
0.0253     0.727926    -0.190364
0.0505     0.657837    -0.341317
0.0758     0.568734    -0.451742
0.1010     0.472813    -0.529706
0.1263     0.373970    -0.579205
0.1515     0.250763    -0.614532
0.1768     0.121454    -0.623049
0.2020     0.000560    -0.597391
0.2273     -0.103063    -0.546367
0.2525     -0.191188    -0.481904
0.2778     -0.270823    -0.404355
0.3030     -0.327452    -0.311534
0.3283     -0.364729    -0.208232
0.3535     -0.372786    -0.118787
0.3788     -0.353737    -0.051708
0.4040     -0.318694    0.005899
0.4293     -0.269109    0.062290
0.4545     -0.213651    0.100992
0.4798     -0.175662    0.127348
0.5051     -0.122614    0.139856
0.5303     -0.079840    0.133489
0.5556     -0.041074    0.111592
0.5808     -0.017236    0.093013
0.6061     0.009450    0.067400
0.6313     0.025158    0.030862
0.6566     0.021924    0.016582
0.6818     0.015217    0.005117
0.7071     0.003959    0.004781
0.7323     0.004908    -0.001024
0.7576     0.003102    0.003449
0.7828     0.012193    -0.001180
0.8081     0.025537    -0.002876
0.8333     0.034806    -0.013281
0.8586     0.038725    -0.022451
0.8838     0.034521    -0.033822
0.9091     0.033586    -0.043093
0.9343     0.035017    -0.061558
0.9596     0.030166    -0.079663
0.9848     0.001760    -0.094538
1.0101     -0.020386    -0.108731
1.0354     -0.056702    -0.121370
1.0606     -0.093522    -0.126375
1.0859     -0.134449    -0.116708
1.1111     -0.169659    -0.104615
1.1364     -0.206685    -0.077938
1.1616     -0.241558    -0.040075
1.1869     -0.263002    0.017741
1.2121     -0.268800    0.076813
1.2374     -0.257512    0.138527
1.2626     -0.237742    0.200728
1.2879     -0.190662    0.243906
1.3131     -0.128086    0.290381
1.3384     -0.072091    0.322610
1.3636     -0.015391    0.347526
1.3889     0.063023    0.349196
1.4141     0.127557    0.333804
1.4394     0.186127    0.307158
1.4646     0.234598    0.279465
1.4899     0.289258    0.242475
1.5152     0.335215    0.171530
1.5404     0.364325    0.104071
1.5657     0.383440    0.048523
1.5909     0.382563    -0.027181
1.6162     0.352633    -0.097250
1.6414     0.319077    -0.173841
1.6667     0.269598    -0.244337
1.6919     0.212232    -0.302062
1.7172     0.135573    -0.325976
1.7424     0.063004    -0.320372
1.7677     -0.013422    -0.305739
1.7929     -0.057216    -0.290254
1.8182     -0.106113    -0.248824
1.8434     -0.139124    -0.200771
1.8687     -0.166691    -0.172654
1.8939     -0.174860    -0.120360
1.9192     -0.174964    -0.070729
1.9444     -0.158825    -0.035610
1.9697     -0.129652    0.005035
1.9949     -0.105614    0.032709
2.0202     -0.073425    0.038924
2.0455     -0.064500    0.054286
2.0707     -0.041067    0.049499
2.0960     -0.022471    0.043563
2.1212     0.000354    0.036983
2.1465     0.022534    0.020368
2.1717     0.027607    0.005796
2.1970     0.023861    -0.015415
2.2222     0.020762    -0.033120
2.2475     0.019867    -0.041896
2.2727     0.016049    -0.039798
2.2980     0.015992    -0.043326
2.3232     0.004179    -0.047301
2.3485     -0.006546    -0.053812
2.3737     -0.016192    -0.051319
2.3990     -0.011719    -0.053680
2.4242     -0.014586    -0.049981
2.4495     -0.015477    -0.050073
2.4747     -0.025247    -0.053812
2.5000     -0.042140    -0.046546
