- - - XXZ 4 qubits output qDRIFT signals, epsilon= 0.1  - - - 
Seed: 3197846202  Run: 16  Samples:  32000   Time:    0.66379786
dt   Re(C(t))    Im(C(t))
0.0000     0.999999    -0.000781
0.0253     0.977793    -0.203314
0.0505     0.909076    -0.392402
0.0758     0.797781    -0.562733
0.1010     0.656341    -0.695890
0.1263     0.491984    -0.795564
0.1515     0.315103    -0.851728
0.1768     0.129363    -0.866453
0.2020     -0.044923    -0.838658
0.2273     -0.204876    -0.775632
0.2525     -0.329686    -0.681986
0.2778     -0.431452    -0.564945
0.3030     -0.497846    -0.437110
0.3283     -0.533539    -0.302349
0.3535     -0.533718    -0.179702
0.3788     -0.507937    -0.067985
0.4040     -0.462628    0.028888
0.4293     -0.399351    0.103865
0.4545     -0.327644    0.158049
0.4798     -0.253929    0.186898
0.5051     -0.184335    0.194997
0.5303     -0.122534    0.184537
0.5556     -0.075069    0.163753
0.5808     -0.039356    0.136533
0.6061     -0.018856    0.106932
0.6313     -0.007961    0.079397
0.6566     -0.005165    0.056585
0.6818     -0.009438    0.039195
0.7071     -0.014489    0.029113
0.7323     -0.018429    0.025361
0.7576     -0.019748    0.025786
0.7828     -0.015787    0.027575
0.8081     -0.007725    0.027689
0.8333     0.005994    0.024136
0.8586     0.020583    0.013752
0.8838     0.034890    -0.005008
0.9091     0.044664    -0.031853
0.9343     0.045468    -0.067460
0.9596     0.033574    -0.106410
0.9848     0.009121    -0.146111
1.0101     -0.030591    -0.184297
1.0354     -0.084893    -0.211830
1.0606     -0.150297    -0.223402
1.0859     -0.227889    -0.215961
1.1111     -0.309531    -0.192015
1.1364     -0.388207    -0.140338
1.1616     -0.455741    -0.066679
1.1869     -0.513147    0.030119
1.2121     -0.545013    0.145194
1.2374     -0.546631    0.276141
1.2626     -0.520865    0.409564
1.2879     -0.456981    0.541532
1.3131     -0.360456    0.659312
1.3384     -0.237316    0.757507
1.3636     -0.078279    0.827222
1.3889     0.094497    0.858487
1.4141     0.270112    0.854071
1.4394     0.452665    0.804017
1.4646     0.612755    0.719383
1.4899     0.759531    0.589311
1.5152     0.871518    0.432103
1.5404     0.946875    0.250779
1.5657     0.981590    0.058166
1.5909     0.971560    -0.132335
1.6162     0.919840    -0.320926
1.6414     0.831159    -0.482191
1.6667     0.701600    -0.627138
1.6919     0.560467    -0.729614
1.7172     0.395668    -0.800216
1.7424     0.223431    -0.832565
1.7677     0.046353    -0.823918
1.7929     -0.109362    -0.779356
1.8182     -0.242148    -0.705261
1.8434     -0.360335    -0.604596
1.8687     -0.437891    -0.487403
1.8939     -0.484530    -0.363628
1.9192     -0.504263    -0.239290
1.9444     -0.490259    -0.124306
1.9697     -0.455015    -0.023273
1.9949     -0.400808    0.055645
2.0202     -0.337075    0.114238
2.0455     -0.268177    0.152825
2.0707     -0.200965    0.164518
2.0960     -0.140840    0.165212
2.1212     -0.090542    0.152242
2.1465     -0.051376    0.127828
2.1717     -0.026425    0.099908
2.1970     -0.013133    0.073767
2.2222     -0.009459    0.050415
2.2475     -0.012116    0.033106
2.2727     -0.017569    0.023540
2.2980     -0.023209    0.020402
2.3232     -0.025876    0.022087
2.3485     -0.022295    0.025829
2.3737     -0.014585    0.028832
2.3990     -0.002405    0.027255
2.4242     0.013212    0.019853
2.4495     0.028562    0.005346
2.4747     0.042264    -0.018813
2.5000     0.047315    -0.051239
