- - - XXZ 4 qubits output qDRIFT signals, epsilon= 0.1  - - - 
Seed: 3817722223  Run: 3  Samples:  32000   Time:    0.65756679
dt   Re(C(t))    Im(C(t))
0.0000     1.000000    0.000000
0.0253     0.979950    -0.185207
0.0505     0.913324    -0.379659
0.0758     0.804334    -0.552269
0.1010     0.665547    -0.683998
0.1263     0.515123    -0.779022
0.1515     0.349711    -0.836675
0.1768     0.170040    -0.856474
0.2020     -0.012809    -0.832639
0.2273     -0.181042    -0.773538
0.2525     -0.300465    -0.685907
0.2778     -0.397600    -0.579676
0.3030     -0.461203    -0.463570
0.3283     -0.509506    -0.330954
0.3535     -0.520738    -0.197974
0.3788     -0.502926    -0.088683
0.4040     -0.465180    0.006293
0.4293     -0.408150    0.093121
0.4545     -0.337411    0.152607
0.4798     -0.262503    0.191801
0.5051     -0.195348    0.198001
0.5303     -0.130143    0.192156
0.5556     -0.083615    0.176404
0.5808     -0.042068    0.153044
0.6061     -0.015928    0.122400
0.6313     0.002027    0.090509
0.6566     0.011205    0.067018
0.6818     0.013614    0.047101
0.7071     0.007496    0.033166
0.7323     0.001900    0.027898
0.7576     -0.001007    0.026074
0.7828     0.001509    0.025931
0.8081     0.010305    0.024480
0.8333     0.021644    0.018566
0.8586     0.036553    0.006820
0.8838     0.048697    -0.014320
0.9091     0.056773    -0.041574
0.9343     0.058354    -0.079072
0.9596     0.043654    -0.118918
0.9848     0.020691    -0.162028
1.0101     -0.018961    -0.201379
1.0354     -0.074583    -0.233692
1.0606     -0.144677    -0.247001
1.0859     -0.221643    -0.245163
1.1111     -0.308619    -0.221537
1.1364     -0.391456    -0.170115
1.1616     -0.463628    -0.098548
1.1869     -0.526578    -0.002110
1.2121     -0.560977    0.123571
1.2374     -0.565203    0.266843
1.2626     -0.538589    0.401531
1.2879     -0.475244    0.537313
1.3131     -0.387296    0.650065
1.3384     -0.258858    0.752535
1.3636     -0.093970    0.828478
1.3889     0.090326    0.862819
1.4141     0.266365    0.858620
1.4394     0.435457    0.814847
1.4646     0.593847    0.733858
1.4899     0.744018    0.606676
1.5152     0.862520    0.449145
1.5404     0.940760    0.263470
1.5657     0.975463    0.086312
1.5909     0.971589    -0.109162
1.6162     0.924190    -0.305168
1.6414     0.838352    -0.468275
1.6667     0.718100    -0.603015
1.6919     0.568935    -0.718957
1.7172     0.406964    -0.788789
1.7424     0.238848    -0.825673
1.7677     0.077371    -0.817678
1.7929     -0.080004    -0.780262
1.8182     -0.210424    -0.709604
1.8434     -0.331348    -0.614000
1.8687     -0.412454    -0.502365
1.8939     -0.474611    -0.375357
1.9192     -0.503809    -0.250642
1.9444     -0.492297    -0.128158
1.9697     -0.457634    -0.024839
1.9949     -0.398636    0.061239
2.0202     -0.330904    0.126368
2.0455     -0.261652    0.160759
2.0707     -0.190865    0.178363
2.0960     -0.127034    0.182915
2.1212     -0.074767    0.165566
2.1465     -0.031248    0.141470
2.1717     -0.003318    0.108886
2.1970     0.011409    0.078475
2.2222     0.016046    0.052543
2.2475     0.012940    0.028908
2.2727     0.008439    0.015103
2.2980     0.004516    0.010166
2.3232     0.001766    0.007890
2.3485     0.005526    0.008379
2.3737     0.012893    0.009168
2.3990     0.024920    0.004637
2.4242     0.038849    -0.005615
2.4495     0.050387    -0.023189
2.4747     0.063042    -0.050369
2.5000     0.069180    -0.089329
