- - - XXZ 20 qubits output signals  - - - 
dt   Re(C(t))    Im(C(t))   Re(F(t))    Im(F(t))
0.0000     1.000000    0.000000    1.000000   0.000000
0.0250     0.977618    -0.198173    0.977618   -0.198173
0.0500     0.911893    -0.385541    0.911893   -0.385541
0.0750     0.806836    -0.551505    0.806836   -0.551505
0.1000     0.669494    -0.688371    0.669494   -0.688371
0.1250     0.508802    -0.789970    0.508802   -0.789970
0.1500     0.331730    -0.850094    0.331730   -0.850094
0.1750     0.150955    -0.869056    0.150955   -0.869056
0.2000     -0.023648    -0.846431    -0.023648   -0.846431
0.2250     -0.182962    -0.788647    -0.182962   -0.788647
0.2500     -0.318678    -0.698180    -0.318678   -0.698180
0.2750     -0.424108    -0.585703    -0.424108   -0.585703
0.3000     -0.495513    -0.458988    -0.495513   -0.458988
0.3250     -0.532286    -0.326072    -0.532286   -0.326072
0.3500     -0.538187    -0.196738    -0.538187   -0.196738
0.3750     -0.515614    -0.076483    -0.515614   -0.076483
0.4000     -0.469347    0.024633    -0.469347   0.024633
0.4250     -0.402521    0.103057    -0.402521   0.103057
0.4500     -0.323049    0.157486    -0.323049   0.157486
0.4750     -0.237770    0.186068    -0.237770   0.186068
0.5000     -0.155825    0.188059    -0.155825   0.188059
0.5250     -0.084788    0.163761    -0.084788   0.163761
0.5500     -0.032067    0.121997    -0.032067   0.121997
0.5750     0.003708    0.068396    0.003708   0.068396
0.6000     0.015386    0.012004    0.015386   0.012004
0.6250     0.005924    -0.041069    0.005924   -0.041069
0.6500     -0.022931    -0.089269    -0.022931   -0.089269
0.6750     -0.064718    -0.115562    -0.064718   -0.115562
0.7000     -0.116619    -0.126454    -0.116619   -0.126454
0.7250     -0.172426    -0.118280    -0.172426   -0.118280
0.7500     -0.226508    -0.087159    -0.226508   -0.087159
0.7750     -0.272082    -0.041995    -0.272082   -0.041995
0.8000     -0.305597    0.017172    -0.305597   0.017172
0.8250     -0.320668    0.090548    -0.320668   0.090548
0.8500     -0.314731    0.168165    -0.314731   0.168165
0.8750     -0.287738    0.238907    -0.287738   0.238907
0.9000     -0.242245    0.299783    -0.242245   0.299783
0.9250     -0.184052    0.353743    -0.184052   0.353743
0.9500     -0.110100    0.391607    -0.110100   0.391607
0.9750     -0.026034    0.404393    -0.026034   0.404393
1.0000     0.062886    0.397710    0.062886   0.397710
1.0250     0.146586    0.367020    0.146586   0.367020
1.0500     0.216754    0.316487    0.216754   0.316487
1.0750     0.268719    0.249821    0.268719   0.249821
1.1000     0.300966    0.182799    0.300966   0.182799
1.1250     0.315261    0.112618    0.315261   0.112618
1.1500     0.318083    0.044035    0.318083   0.044035
1.1750     0.296872    -0.018739    0.296872   -0.018739
1.2000     0.267275    -0.074865    0.267275   -0.074865
1.2250     0.228199    -0.114992    0.228199   -0.114992
1.2500     0.179126    -0.151196    0.179126   -0.151196
1.2750     0.135236    -0.169501    0.135236   -0.169501
1.3000     0.094042    -0.175247    0.094042   -0.175247
1.3250     0.059406    -0.168052    0.059406   -0.168052
1.3500     0.025202    -0.149285    0.025202   -0.149285
1.3750     0.001571    -0.124381    0.001571   -0.124381
1.4000     -0.011884    -0.098028    -0.011884   -0.098028
1.4250     -0.017834    -0.088282    -0.017834   -0.088282
1.4500     -0.017072    -0.078893    -0.017072   -0.078893
1.4750     -0.011677    -0.069588    -0.011677   -0.069588
1.5000     -0.001480    -0.061100    -0.001480   -0.061100
1.5250     0.007942    -0.050997    0.007942   -0.050997
1.5500     0.020452    -0.052030    0.020452   -0.052030
1.5750     0.031790    -0.048400    0.031790   -0.048400
1.6000     0.039919    -0.053340    0.039919   -0.053340
1.6250     0.046143    -0.059529    0.046143   -0.059529
1.6500     0.047926    -0.070419    0.047926   -0.070419
1.6750     0.047575    -0.082727    0.047575   -0.082727
1.7000     0.040545    -0.089161    0.040545   -0.089161
1.7250     0.028361    -0.108397    0.028361   -0.108397
1.7500     0.014011    -0.120695    0.014011   -0.120695
1.7750     -0.002415    -0.129400    -0.002415   -0.129400
1.8000     -0.022926    -0.138671    -0.022926   -0.138671
1.8250     -0.047926    -0.146073    -0.047926   -0.146073
1.8500     -0.073874    -0.147486    -0.073874   -0.147486
1.8750     -0.100386    -0.146045    -0.100386   -0.146045
1.9000     -0.125653    -0.137251    -0.125653   -0.137251
1.9250     -0.147415    -0.124855    -0.147415   -0.124855
1.9500     -0.167155    -0.105183    -0.167155   -0.105183
1.9750     -0.185905    -0.081421    -0.185905   -0.081421
2.0000     -0.192776    -0.055405    -0.192776   -0.055405
2.0250     -0.198001    -0.029353    -0.198001   -0.029353
2.0500     -0.197199    -0.002104    -0.197199   -0.002104
2.0750     -0.188500    0.022825    -0.188500   0.022825
2.1000     -0.169659    0.041786    -0.169659   0.041786
2.1250     -0.147153    0.055042    -0.147153   0.055042
2.1500     -0.124193    0.058524    -0.124193   0.058524
2.1750     -0.105653    0.053708    -0.105653   0.053708
2.2000     -0.089507    0.046067    -0.089507   0.046067
2.2250     -0.076129    0.032816    -0.076129   0.032816
2.2500     -0.070041    0.022034    -0.070041   0.022034
2.2750     -0.065765    0.016498    -0.065765   0.016498
2.3000     -0.062992    0.012902    -0.062992   0.012902
2.3250     -0.064065    0.012621    -0.064065   0.012621
2.3500     -0.068213    0.010724    -0.068213   0.010724
2.3750     -0.072100    0.008742    -0.072100   0.008742
2.4000     -0.075473    0.009178    -0.075473   0.009178
