- - - XXZ 100 qubits output signals  - - - 
dt   Re(C(t))    Im(C(t))   Re(F(t))    Im(F(t))
0.0000     1.000000    0.000000    1.000000   0.000000
0.0250     1.990592    9.858820    1.032440   0.298752
0.0500     4.857063    8.999059    1.102216   0.078613
0.0750     7.421399    7.263061    1.120184   -0.160807
0.1000     9.371384    5.186656    1.080462   -0.390289
0.1250     10.558553    2.509536    0.984381   -0.622152
0.1500     11.329573    -0.923165    0.840768   -0.822594
0.1750     10.837960    -3.873735    0.664437   -0.983802
0.2000     9.658054    -6.898503    0.430042   -1.097679
0.2250     7.763494    -9.251739    0.196028   -1.158134
0.2500     5.248804    -11.001419    -0.038183   -1.151075
0.2750     2.152052    -12.023540    -0.276313   -1.095764
0.3000     -1.148821    -12.328247    -0.483704   -0.989963
0.3250     -4.368735    -11.941169    -0.656361   -0.842003
0.3500     -6.668195    -10.749952    -0.785908   -0.662768
0.3750     -8.659767    -9.049910    -0.867157   -0.464848
0.4000     -10.474761    -6.375107    -0.898840   -0.261158
0.4250     -11.813752    -3.569947    -0.883215   -0.064254
0.4500     -12.425543    -0.587386    -0.825185   0.112515
0.4750     -12.520541    2.041334    -0.732619   0.268677
0.5000     -11.519476    5.253627    -0.615580   0.376259
0.5250     -9.615665    8.079145    -0.483893   0.456719
0.5500     -6.879642    10.012598    -0.349760   0.494158
0.5750     -4.746775    10.944785    -0.222622   0.495058
0.6000     -1.847975    10.698334    -0.111207   0.464707
0.6250     0.793481    10.275295    -0.021809   0.410016
0.6500     3.118709    9.544250    0.041865   0.339207
0.6750     4.620726    7.545603    0.078735   0.262140
0.7000     6.339861    5.512641    0.090608   0.186586
0.7250     7.182750    3.577955    0.086288   0.119396
0.7500     7.661545    0.482834    0.050397   0.053990
0.7750     7.216287    -1.364657    0.021932   0.034193
0.8000     6.507285    -2.751720    -0.013939   0.018119
0.8250     4.973932    -4.767021    -0.045030   0.019936
0.8500     3.188208    -6.330094    -0.064865   0.035299
0.8750     1.347519    -4.802048    -0.069996   0.060180
0.9000     -0.642038    -3.094722    -0.064574   0.087110
0.9250     -1.452673    -3.287636    -0.048966   0.112690
0.9500     -3.021737    -2.534557    -0.017872   0.129178
0.9750     -4.246683    -0.486799    0.019812   0.133849
1.0000     -4.812921    0.762653    0.058414   0.123534
1.0250     -5.244667    2.592530    0.091678   0.097758
1.0500     -3.319979    4.422128    0.113647   0.058745
1.0750     -1.510305    6.141738    0.119137   0.009696
1.1000     0.380991    4.777541    0.104617   -0.043372
1.1250     1.799301    4.403800    0.068352   -0.094006
1.1500     2.076239    4.171227    0.011688   -0.134822
1.1750     5.219977    3.269601    -0.062303   -0.158813
1.2000     4.370328    2.798480    -0.148005   -0.159985
1.2250     5.314662    0.506472    -0.237904   -0.134028
1.2500     5.868022    0.826704    -0.323198   -0.078998
1.2750     3.916916    -1.330849    -0.394553   0.004396
1.3000     3.259836    -3.170590    -0.442940   0.112626
1.3250     2.020953    -4.649879    -0.460498   0.239535
1.3500     2.118633    -5.157458    -0.441318   0.376441
1.3750     1.011078    -5.739942    -0.382145   0.512805
1.4000     -0.107596    -5.301306    -0.282779   0.638021
1.4250     -1.507657    -2.638390    -0.146313   0.739695
1.4500     -2.476373    -3.294016    0.020953   0.809301
1.4750     -2.963758    -3.046735    0.209799   0.837471
1.5000     -3.169054    -2.631580    0.409200   0.807895
1.5250     -2.668815    -3.023465    0.606698   0.749726
1.5500     -3.234269    -0.485775    0.788609   0.631720
1.5750     -3.285487    -1.494247    0.941519   0.467790
1.6000     -2.011312    -1.116650    1.055200   0.267480
1.6250     -2.039402    -0.136964    1.119160   0.040035
1.6500     -1.828576    0.769090    1.120270   -0.200390
1.6750     -0.859140    0.501123    1.080243   -0.440344
1.7000     -0.391994    0.551620    0.976688   -0.664694
1.7250     -0.332664    2.721179    0.822756   -0.861309
1.7500     0.022352    1.916961    0.627073   -1.016766
1.7750     -0.097667    1.632527    0.402249   -1.123079
1.8000     0.447316    1.674906    0.160626   -1.174388
1.8250     0.554645    1.828419    -0.082589   -1.168750
1.8500     0.974230    1.388449    -0.313269   -1.108281
1.8750     1.475126    1.666059    -0.518416   -0.998561
1.9000     1.374523    1.201763    -0.686867   -0.848190
1.9250     1.473740    1.442727    -0.810655   -0.668256
1.9500     1.404182    0.792416    -0.885130   -0.471309
1.9750     2.337522    0.423601    -0.909597   -0.270377
2.0000     0.526114    -0.324571    -0.885789   -0.078000
2.0250     0.616940    0.079628    -0.819843   0.094626
2.0500     0.188747    0.159192    -0.720356   0.231813
2.0750     -1.020622    -0.026953    -0.596862   0.348503
2.1000     -1.854562    0.583952    -0.461434   0.419862
2.1250     -2.481542    0.830666    -0.324115   0.453361
2.1500     -2.241318    2.200712    -0.195471   0.451782
2.1750     -1.754258    2.857325    -0.084398   0.421028
2.2000     -1.503244    3.012146    0.003214   0.368214
2.2250     -1.266139    4.066054    0.063906   0.301641
2.2500     -0.488162    3.571663    0.096992   0.229921
2.2750     -0.204126    2.625836    0.104472   0.161005
2.3000     0.293334    2.243928    0.090618   0.101558
2.3250     0.919693    1.419406    0.061912   0.056497
2.3500     1.422666    2.305584    0.024137   0.028145
2.3750     1.556374    2.251433    -0.015009   0.016705
2.4000     1.434995    1.478015    -0.048847   0.021716
2.4250     1.933618    -0.382617    -0.072126   0.038134
2.4500     0.092748    -0.108916    -0.081589   0.061291
2.4750     0.448410    -0.349504    -0.075732   0.080752
2.5000     0.510523    -0.061340    -0.053303   0.106026
