- - - XXZ 40 qubits output signals  - - - 
dt   Re(C(t))    Im(C(t))   Re(F(t))    Im(F(t))
0.0000     1.000000    0.000000    1.000000   0.000000
0.0250     1.391747    3.883778    1.391747   3.883778
0.0500     2.510284    3.423780    2.510284   3.423780
0.0750     3.483139    2.623144    3.483139   2.623144
0.1000     4.188807    1.697978    4.188807   1.697978
0.1250     4.572784    0.557488    4.572784   0.557488
0.1500     4.777143    -0.863899    4.777143   -0.863899
0.1750     4.471925    -2.067910    4.471925   -2.067910
0.2000     3.891934    -3.275995    3.891934   -3.275995
0.2250     3.032831    -4.192325    3.032831   -4.192325
0.2500     1.937062    -4.848749    1.937062   -4.848749
0.2750     0.625457    -5.195449    0.625457   -5.195449
0.3000     -0.748297    -5.244617    -0.748297   -5.244617
0.3250     -2.067104    -5.011398    -2.067104   -5.011398
0.3500     -3.000098    -4.455193    -3.000098   -4.455193
0.3750     -3.795237    -3.699655    -3.795237   -3.699655
0.4000     -4.494785    -2.562664    -4.494785   -2.562664
0.4250     -4.999867    -1.386646    -4.999867   -1.386646
0.4500     -5.200770    -0.153184    -5.200770   -0.153184
0.4750     -5.187030    0.925085    -5.187030   0.925085
0.5000     -4.735704    2.215387    -4.735704   2.215387
0.5250     -3.930868    3.342744    -3.930868   3.342744
0.5500     -2.795892    4.092941    -2.795892   4.092941
0.5750     -1.916008    4.437551    -1.916008   4.437551
0.6000     -0.739984    4.310053    -0.739984   4.310053
0.6250     0.314590    4.107509    0.314590   4.107509
0.6500     1.234303    3.787346    1.234303   3.787346
0.6750     1.814175    2.957879    1.814175   2.957879
0.7000     2.473547    2.136007    2.473547   2.136007
0.7250     2.778402    1.357719    2.778402   1.357719
0.7500     2.934604    0.139759    2.934604   0.139759
0.7750     2.724866    -0.577205    2.724866   -0.577205
0.8000     2.413888    -1.107354    2.413888   -1.107354
0.8250     1.785250    -1.864045    1.785250   -1.864045
0.8500     1.068760    -2.441914    1.068760   -2.441914
0.8750     0.343333    -1.801670    0.343333   -1.801670
0.9000     -0.429230    -1.084268    -0.429230   -1.084268
0.9250     -0.722209    -1.124800    -0.722209   -1.124800
0.9500     -1.304250    -0.788634    -1.304250   -0.788634
0.9750     -1.752467    0.051426    -1.752467   0.051426
1.0000     -1.919109    0.549160    -1.919109   0.549160
1.0250     -2.032537    1.279544    -2.032537   1.279544
1.0500     -1.231222    1.976107    -1.231222   1.976107
1.0750     -0.474981    2.629268    -0.474981   2.629268
1.1000     0.306828    2.056789    0.306828   2.056789
1.1250     0.889200    1.869510    0.889200   1.869510
1.1500     1.018578    1.728172    1.018578   1.728172
1.1750     2.252591    1.331527    2.252591   1.331527
1.2000     1.929687    1.097529    1.929687   1.097529
1.2250     2.280265    0.163770    2.280265   0.163770
1.2500     2.462011    0.254656    2.462011   0.254656
1.2750     1.667499    -0.613726    1.667499   -0.613726
1.3000     1.388238    -1.364105    1.388238   -1.364105
1.3250     0.869250    -1.946051    0.869250   -1.946051
1.3500     0.858198    -2.144417    0.858198   -2.144417
1.3750     0.407512    -2.372966    0.407512   -2.372966
1.4000     -0.056208    -2.191132    -0.056208   -2.191132
1.4250     -0.619042    -1.129543    -0.619042   -1.129543
1.4500     -1.002444    -1.366560    -1.002444   -1.366560
1.4750     -1.204326    -1.269080    -1.204326   -1.269080
1.5000     -1.281601    -1.103457    -1.281601   -1.103457
1.5250     -1.080191    -1.232134    -1.080191   -1.232134
1.5500     -1.306243    -0.220369    -1.306243   -0.220369
1.5750     -1.322744    -0.623987    -1.322744   -0.623987
1.6000     -0.796313    -0.467639    -0.796313   -0.467639
1.6250     -0.794716    -0.093354    -0.794716   -0.093354
1.6500     -0.689386    0.260551    -0.689386   0.260551
1.6750     -0.314316    0.149888    -0.314316   0.149888
1.7000     -0.125544    0.155969    -0.125544   0.155969
1.7250     -0.097284    1.019492    -0.097284   1.019492
1.7500     0.026577    0.676051    0.026577   0.676051
1.7750     -0.017197    0.556962    -0.017197   0.556962
1.8000     0.188651    0.580449    0.188651   0.580449
1.8250     0.221521    0.633529    0.221521   0.633529
1.8500     0.354059    0.453202    0.354059   0.453202
1.8750     0.529863    0.561318    0.529863   0.561318
1.9000     0.475362    0.383721    0.475362   0.383721
1.9250     0.493650    0.479753    0.493650   0.479753
1.9500     0.450162    0.235727    0.450162   0.235727
1.9750     0.795738    0.096468    0.795738   0.096468
2.0000     0.069925    -0.176738    0.069925   -0.176738
2.0250     0.114200    -0.000683    0.114200   -0.000683
2.0500     -0.060803    0.051017    -0.060803   0.051017
2.0750     -0.533540    -0.004133    -0.533540   -0.004133
2.1000     -0.862660    0.254995    -0.862660   0.254995
2.1250     -1.094525    0.364546    -1.094525   0.364546
2.1500     -0.998136    0.907365    -0.998136   0.907365
2.1750     -0.786668    1.174905    -0.786668   1.174905
2.2000     -0.676253    1.224670    -0.676253   1.224670
2.2250     -0.583636    1.649856    -0.583636   1.649856
2.2500     -0.252430    1.443469    -0.252430   1.443469
2.2750     -0.136485    1.053140    -0.136485   1.053140
2.3000     0.055152    0.900865    0.055152   0.900865
2.3250     0.305775    0.581573    0.305775   0.581573
2.3500     0.505931    0.921548    0.505931   0.921548
2.3750     0.554588    0.907798    0.554588   0.907798
2.4000     0.501837    0.604168    0.501837   0.604168
2.4250     0.691465    -0.134830    0.691465   -0.134830
2.4500     -0.030304    -0.017181    -0.030304   -0.017181
2.4750     0.125376    -0.112844    0.125376   -0.112844
2.5000     0.153261    0.011253    0.153261   0.011253
