dt   Re(C(t))    Im(C(t))   Re(F(t))    Im(F(t))
0.0000     1.000000    0.000000    1.000000   0.000000
0.0250     0.977618    -0.198173    0.977618   -0.198173
0.0500     0.911873    -0.385534    0.911873   -0.385534
0.0750     0.806870    -0.552009    0.806870   -0.552009
0.1000     0.669116    -0.688947    0.669116   -0.688947
0.1250     0.507057    -0.789695    0.507057   -0.789695
0.1500     0.330471    -0.850022    0.330471   -0.850022
0.1750     0.149774    -0.868374    0.149774   -0.868374
0.2000     -0.024711    -0.845915    -0.024711   -0.845915
0.2250     -0.183466    -0.786383    -0.183466   -0.786383
0.2500     -0.318417    -0.695754    -0.318417   -0.695754
0.2750     -0.423455    -0.581752    -0.423455   -0.581752
0.3000     -0.494798    -0.453242    -0.494798   -0.453242
0.3250     -0.531176    -0.319554    -0.531176   -0.319554
0.3500     -0.533817    -0.189788    -0.533817   -0.189788
0.3750     -0.506254    -0.072165    -0.506254   -0.072165
0.4000     -0.453963    0.026545    -0.453963   0.026545
0.4250     -0.383858    0.101460    -0.383858   0.101460
0.4500     -0.303708    0.149870    -0.303708   0.149870
0.4750     -0.221491    0.171336    -0.221491   0.171336
0.5000     -0.144773    0.167621    -0.144773   0.167621
0.5250     -0.080124    0.142443    -0.080124   0.142443
0.5500     -0.032648    0.101089    -0.032648   0.101089
0.5750     -0.005634    0.049916    -0.005634   0.049916
0.6000     -0.000370    -0.004210    -0.000370   -0.004210
0.6250     -0.016121    -0.054499    -0.016121   -0.054499
0.6500     -0.050270    -0.094792    -0.050270   -0.094792
0.6750     -0.098601    -0.120051    -0.098601   -0.120051
0.7000     -0.155705    -0.126735    -0.155705   -0.126735
0.7250     -0.215462    -0.113046    -0.215462   -0.113046
0.7500     -0.271574    -0.079030    -0.271574   -0.079030
0.7750     -0.318078    -0.026521    -0.318078   -0.026521
0.8000     -0.349831    0.041052    -0.349831   0.041052
0.8250     -0.362901    0.118980    -0.362901   0.118980
0.8500     -0.354855    0.201678    -0.354855   0.201678
0.8750     -0.324919    0.283150    -0.324919   0.283150
0.9000     -0.273994    0.357458    -0.273994   0.357458
0.9250     -0.204550    0.419182    -0.204550   0.419182
0.9500     -0.120399    0.463810    -0.120399   0.463810
0.9750     -0.026372    0.488053    -0.026372   0.488053
1.0000     0.072068    0.490041    0.072068   0.490041
1.0250     0.169235    0.469415    0.169235   0.469415
1.0500     0.259636    0.427286    0.259636   0.427286
1.0750     0.338345    0.366101    0.338345   0.366101
1.1000     0.401311    0.289404    0.401311   0.289404
1.1250     0.445586    0.201546    0.445586   0.201546
1.1500     0.469454    0.107337    0.469454   0.107337
1.1750     0.472460    0.011709    0.472460   0.011709
1.2000     0.455349    -0.080614    0.455349   -0.080614
1.2250     0.419917    -0.165398    0.419917   -0.165398
1.2500     0.368807    -0.239120    0.368807   -0.239120
1.2750     0.305260    -0.299110    0.305260   -0.299110
1.3000     0.232857    -0.343620    0.232857   -0.343620
1.3250     0.155264    -0.371814    0.155264   -0.371814
1.3500     0.076012    -0.383694    0.076012   -0.383694
1.3750     -0.001682    -0.379975    -0.001682   -0.379975
1.4000     -0.075036    -0.361930    -0.075036   -0.361930
1.4250     -0.141770    -0.331222    -0.141770   -0.331222
1.4500     -0.200113    -0.289745    -0.200113   -0.289745
1.4750     -0.248772    -0.239480    -0.248772   -0.239480
1.5000     -0.286858    -0.182402    -0.286858   -0.182402
1.5250     -0.313809    -0.120407    -0.313809   -0.120407
1.5500     -0.329299    -0.055297    -0.329299   -0.055297
1.5750     -0.333168    0.011208    -0.333168   0.011208
1.6000     -0.325382    0.077433    -0.325382   0.077433
1.6250     -0.306013    0.141690    -0.306013   0.141690
1.6500     -0.275270    0.202238    -0.275270   0.202238
1.6750     -0.233551    0.257241    -0.233551   0.257241
1.7000     -0.181518    0.304773    -0.181518   0.304773
1.7250     -0.120186    0.342848    -0.120186   0.342848
1.7500     -0.051003    0.369500    -0.051003   0.369500
1.7750     0.024090    0.382897    0.024090   0.382897
1.8000     0.102642    0.381488    0.102642   0.381488
1.8250     0.181714    0.364169    0.181714   0.364169
1.8500     0.257967    0.330449    0.257967   0.330449
1.8750     0.327801    0.280596    0.327801   0.280596
1.9000     0.387553    0.215746    0.387553   0.215746
1.9250     0.433728    0.137962    0.433728   0.137962
1.9500     0.463257    0.050210    0.463257   0.050210
1.9750     0.473754    -0.043726    0.473754   -0.043726
2.0000     0.463759    -0.139421    0.463759   -0.139421
2.0250     0.432915    -0.232046    0.432915   -0.232046
2.0500     0.382100    -0.316672    0.382100   -0.316672
2.0750     0.313452    -0.388604    0.313452   -0.388604
2.1000     0.230310    -0.443727    0.230310   -0.443727
2.1250     0.137048    -0.478836    0.137048   -0.478836
2.1500     0.038823    -0.491910    0.038823   -0.491910
2.1750     -0.058765    -0.482322    -0.058765   -0.482322
2.2000     -0.150058    -0.450941    -0.150058   -0.450941
2.2250     -0.229759    -0.400131    -0.229759   -0.400131
2.2500     -0.293340    -0.333619    -0.293340   -0.333619
2.2750     -0.337408    -0.256262    -0.337408   -0.256262
2.3000     -0.360000    -0.173703    -0.360000   -0.173703
2.3250     -0.360774    -0.091950    -0.360774   -0.091950
2.3500     -0.341071    -0.016916    -0.341071   -0.016916
2.3750     -0.303851    0.046061    -0.303851   0.046061
2.4000     -0.253492    0.092660    -0.253492   0.092660
2.4250     -0.195462    0.119958    -0.195462   0.119958
2.4500     -0.135892    0.126709    -0.135892   0.126709
2.4750     -0.081080    0.113488    -0.081080   0.113488
2.5000     -0.036965    0.082697    -0.036965   0.082697
