dt   Re(C(t))    Im(C(t))   Re(F(t))    Im(F(t))
0.0000     1.000000    0.000000    1.000000   0.000000
0.0250     0.977618    -0.198173    0.977618   -0.198173
0.0500     0.911873    -0.385534    0.911873   -0.385534
0.0750     0.806870    -0.552009    0.806870   -0.552009
0.1000     0.669116    -0.688948    0.669116   -0.688948
0.1250     0.507057    -0.789695    0.507057   -0.789695
0.1500     0.330472    -0.850024    0.330472   -0.850024
0.1750     0.149775    -0.868379    0.149775   -0.868379
0.2000     -0.024711    -0.845926    -0.024711   -0.845926
0.2250     -0.183471    -0.786405    -0.183471   -0.786405
0.2500     -0.318435    -0.695792    -0.318435   -0.695792
0.2750     -0.423498    -0.581812    -0.423498   -0.581812
0.3000     -0.494889    -0.453325    -0.494889   -0.453325
0.3250     -0.531345    -0.319655    -0.531345   -0.319655
0.3500     -0.534104    -0.189890    -0.534104   -0.189890
0.3750     -0.506706    -0.072229    -0.506706   -0.072229
0.4000     -0.454626    0.026584    -0.454626   0.026584
0.4250     -0.384771    0.101701    -0.384771   0.101701
0.4500     -0.304886    0.150451    -0.304886   0.150451
0.4750     -0.222909    0.172433    -0.222909   0.172433
0.5000     -0.146344    0.169441    -0.146344   0.169441
0.5250     -0.081680    0.145210    -0.081680   0.145210
0.5500     -0.033918    0.105020    -0.033918   0.105020
0.5750     -0.006229    0.055187    -0.006229   0.055187
0.6000     0.000219    0.002495    0.000219   0.002495
0.6250     -0.013726    -0.046401    -0.013726   -0.046401
0.6500     -0.045358    -0.085529    -0.045358   -0.085529
0.6750     -0.090418    -0.110087    -0.090418   -0.110087
0.7000     -0.143518    -0.116815    -0.143518   -0.116815
0.7250     -0.198649    -0.104224    -0.198649   -0.104224
0.7500     -0.249719    -0.072670    -0.249719   -0.072670
0.7750     -0.291090    -0.024270    -0.291090   -0.024270
0.8000     -0.318054    0.037323    -0.318054   0.037323
0.8250     -0.327223    0.107283    -0.327223   0.107283
0.8500     -0.316792    0.180045    -0.316792   0.180045
0.8750     -0.286664    0.249812    -0.286664   0.249812
0.9000     -0.238422    0.311050    -0.238422   0.311050
0.9250     -0.175164    0.358961    -0.175164   0.358961
0.9500     -0.101207    0.389877    -0.101207   0.389877
0.9750     -0.021697    0.401549    -0.021697   0.401549
1.0000     0.057842    0.393309    0.057842   0.393309
1.0250     0.131985    0.366094    0.131985   0.366094
1.0500     0.195859    0.322328    0.195859   0.322328
1.0750     0.245540    0.265682    0.245540   0.265682
1.1000     0.278360    0.200739    0.278360   0.200739
1.1250     0.293100    0.132574    0.293100   0.132574
1.1500     0.290050    0.066318    0.290050   0.066318
1.1750     0.270942    0.006715    0.270942   0.006715
1.2000     0.238758    -0.042269    0.238758   -0.042269
1.2250     0.197431    -0.077765    0.197431   -0.077765
1.2500     0.151480    -0.098213    0.151480   -0.098213
1.2750     0.105588    -0.103461    0.105588   -0.103461
1.3000     0.064193    -0.094727    0.064193   -0.094727
1.3250     0.031091    -0.074454    0.031091   -0.074454
1.3500     0.009123    -0.046050    0.009123   -0.046050
1.3750     -0.000060    -0.013555    -0.000060   -0.013555
1.4000     0.003887    0.018749    0.003887   0.018749
1.4250     0.020003    0.046734    0.020003   0.046734
1.4500     0.046140    0.066806    0.046140   0.066806
1.4750     0.079184    0.076227    0.079184   0.076227
1.5000     0.115369    0.073359    0.115369   0.073359
1.5250     0.150633    0.057797    0.150633   0.057797
1.5500     0.181006    0.030395    0.181006   0.030395
1.5750     0.202980    -0.006829    0.202980   -0.006829
1.6000     0.213838    -0.050888    0.213838   -0.050888
1.6250     0.211905    -0.098117    0.211905   -0.098117
1.6500     0.196698    -0.144512    0.196698   -0.144512
1.6750     0.168972    -0.186112    0.168972   -0.186112
1.7000     0.130651    -0.219366    0.130651   -0.219366
1.7250     0.084648    -0.241470    0.084648   -0.241470
1.7500     0.034595    -0.250624    0.034595   -0.250624
1.7750     -0.015491    -0.246215    -0.015491   -0.246215
1.8000     -0.061580    -0.228873    -0.061580   -0.228873
1.8250     -0.100010    -0.200428    -0.100010   -0.200428
1.8500     -0.127829    -0.163746    -0.127829   -0.163746
1.8750     -0.143082    -0.122477    -0.143082   -0.122477
1.9000     -0.145009    -0.080725    -0.145009   -0.080725
1.9250     -0.134137    -0.042667    -0.134137   -0.042667
1.9500     -0.112253    -0.012166    -0.112253   -0.012166
1.9750     -0.082273    0.007594    -0.082273   0.007594
2.0000     -0.047995    0.014429    -0.047995   0.014429
2.0250     -0.013778    0.007385    -0.013778   0.007385
2.0500     0.015847    -0.013133    0.015847   -0.013133
2.0750     0.036578    -0.045348    0.036578   -0.045348
2.1000     0.044748    -0.086214    0.044748   -0.086214
2.1250     0.037677    -0.131640    0.037677   -0.131640
2.1500     0.013954    -0.176799    0.013954   -0.176799
2.1750     -0.026381    -0.216521    -0.026381   -0.216521
2.2000     -0.081766    -0.245714    -0.081766   -0.245714
2.2250     -0.149180    -0.259801    -0.149180   -0.259801
2.2500     -0.224322    -0.255124    -0.224322   -0.255124
2.2750     -0.301890    -0.229287    -0.301890   -0.229287
2.3000     -0.375967    -0.181407    -0.375967   -0.181407
2.3250     -0.440450    -0.112257    -0.440450   -0.112257
2.3500     -0.489511    -0.024278    -0.489511   -0.024278
2.3750     -0.518054    0.078531    -0.518054   0.078531
2.4000     -0.522116    0.190850    -0.522116   0.190850
2.4250     -0.499204    0.306370    -0.499204   0.306370
2.4500     -0.448523    0.418215    -0.448523   0.418215
2.4750     -0.371086    0.519408    -0.371086   0.519408
2.5000     -0.269695    0.603352    -0.269695   0.603352
